# Words habitually confused for each other, one group per line.
abi aby
dyeťa dieťa
dávat dávať
díchať dýchať
dôležití dôležitý
dôstojnik dôstojník
emili emily
este ešte
ešfe ešte
fahn fajn
faktura faktúra
falošní falošný
fby fbi
fer fér
fqjn fajn
francúzski francúzsky
fungovat fungovať
fylm film
gai gay
general generál
hadam hádam
hadat hádať
hadať hádať
halo haló
happi happy
hbeď hneď
henri henry
hesolo heslo
hivoriť hovoriť
hladat hľadať
hladny hladný
hladní hladný
hlavní hlavný
hlupak hlupák
hlupy hlúpy
hlúpi hlúpy
hmiz hmyz
hndď hneď
hned hneď
hocico hocičo
hocy hoci
hodini hodiny
hodinki hodinky
hodyny hodiny
hotoví hotový
hoviriť hovoriť
hovorit hovoriť
hovorjť hovoriť
hovoryť hovoriť
hrat hrať
hrdy hrdý
hrdí hrdý
hrozní hrozný
hádat hádať
híb hýb
híbať hýbať
iatý istý
icem idem
iddm idem
ides ideš
idu idú
ihned ihneď
ine iné
inokedi inokedy
iny iný
iní iný
iork york
isfý istý
isiel išiel
isla išla
isli išli
islo išlo
ist ísť
isty istý
istí istý
isť ísť
jazik jazyk
jdden jeden
jdho jeho
jebo jeho
jecen jeden
jeddn jeden
jediny jediný
jediní jediný
jedneho jedného
jednoduchí jednoduchý
jednym jedným
jedním jedným
jedyný jediný
jersei jersey
jest jesť
jezis ježiš
jezisi ježiši
ježyš ježiš
ježyšy ježiši
kamarat kamarát
kamen kameň
kamos kamoš
kapitan kapitán
kapytán kapitán
kazdopadne každopádne
kazdy každý
kazdý každý
kažcý každý
každy každý
každí každý
kbôli kvôli
kdby keby
kddy kedy
kebi keby
kecy kedy
ked keď
kedi kedy
kedikoľvek kedykoľvek
kedisi kedysi
kedykolvek kedykoľvek
kedysy kedysi
kedze keďže
kedže keďže
kefy keby
keďze keďže
kforý ktorý
khrva kurva
kiežbi kiežby
kile kyle
kislík kyslík
kiľko koľko
klamat klamať
kluc kľúč
klud kľud
kludne kľudne
klúč kľúč
kobila kobyla
kod kód
kolac koláč
kolko koľko
konecne konečne
konyec koniec
kopito kopyto
koritnačka korytnačka
kostím kostým
koľio koľko
kqždý každý
kral kráľ
kralovna kráľovná
krasny krásny
krat krát
kraľ kráľ
kriť kryť
kryste kriste
král kráľ
královná kráľovná
krásni krásny
krátki krátky
ktirý ktorý
ktodý ktorý
ktokolvek ktokoľvek
ktory ktorý
ktorí ktorý
kudva kurva
kupit kúpiť
kupiť kúpiť
kurba kurva
kurs kurz
kusok kúsok
kvoli kvôli
kvôii kvôli
kvôly kvôli
kym kým
kím kým
kúpit kúpiť
kúpyť kúpiť
kúski kúsky
kľuč kľúč
kľúc kľúč
lahko ľahko
laska láska
laskavost láskavosť
laskavosť láskavosť
lasky lásky
ldbo lebo
ldpšie lepšie
lefo lebo
lepsi lepší
lepsie lepšie
lepsí lepší
lepši lepší
lepšje lepšie
lepšye lepšie
lepšý lepší
lisý lysý
liže lyže
ližica lyžica
lod loď
ludia ľudia
lyetadlo lietadlo
lyst list
láskavost láskavosť
láski lásky
ma má
maha mama
mahú majú
maju majú
malo málo
maly malý
malí malý
mam mám
mame máme
mamy mami
manzel manžel
manzelka manželka
manzelstvo manželstvo
mari mary
mas máš
maso mäso
mat mať
mate máte
maš máš
mbou mnou
medzitím medzitým
medzy medzi
mesyac mesiac
mieato miesto
miesfo miesto
miestnost miestnosť
mija moja
mije moje
mijej mojej
milacik miláčik
milačik miláčik
milovat milovať
mily milý
milácik miláčik
milí milý
minulost minulosť
minuly minulý
minulí minulý
minut minút
miseľ myseľ
mislieť myslieť
miš myš
mišlienka myšlienka
mižno možno
mjesto miesto
mlady mladý
mladí mladý
mlinár mlynár
mna mňa
mniu mnou
mnozstvo množstvo
mobyl mobil
moct môcť
modrí modrý
moha moja
mohe moje
mohej mojej
moj môj
mojdj mojej
mojho môjho
mojim mojím
mojmu môjmu
mojy moji
mojych mojich
mojym mojim
mojým mojím
mozno možno
moznost možnosť
moznosť možnosť
možbo možno
možnost možnosť
mqjú majú
mqma mama
mrtvy mŕtvy
musiet musieť
musyeť musieť
muz muž
muzi muži
muzov mužov
mužy muži
my mi
mychael michael
myesto miesto
myke mike
myláčyk miláčik
mylý milý
mymo mimo
mynulý minulý
mynút minút
mysel myseľ
mysliet myslieť
myslyeť myslieť
máfe máte
máhe máme
más máš
míl míľ
míliť mýliť
môct môcť
môhho môjho
môjbo môjho
múdri múdry
mŕtvi mŕtvy
nabuduce nabudúce
naco načo
nadej nádej
nadšení nadšený
nahnevaní nahnevaný
najlepsie najlepšie
najlepšye najlepšie
najst nájsť
najsť nájsť
najvyac najviac
nakonyec nakoniec
nam nám
namy nami
namyesto namiesto
nanho naňho
naogaj naozaj
naozqj naozaj
napad nápad
napisat napísať
napisať napísať
naposledi naposledy
napriklad napríklad
napryek napriek
naprýklad napríklad
napísat napísať
narodenini narodeniny
nas nás
nas náš
nasa naša
nase naše
nasej našej
nasho nášho
nasi naši
nasich našich
nasim našim
nasom našom
nasou našou
naspat naspäť
naspät naspäť
nasu našu
naucit naučiť
nauciť naučiť
naučit naučiť
naučyť naučiť
naveki naveky
naviše navyše
navstivit navštíviť
navstíviť navštíviť
navyse navyše
navzajom navzájom
navzdy navždy
navštiviť navštíviť
navštívit navštíviť
navždi navždy
nazive nažive
nazor názor
naš náš
našho nášho
naštvaní naštvaný
našy naši
našych našich
nažyve nažive
ndbude nebude
ndch nech
nebhde nebude
nebuce nebude
nebudes nebudeš
nebudu nebudú
nechat nechať
nedavno nedávno
nedh nech
nehíb nehýb
nejaky nejaký
nejakí nejaký
nervózni nervózny
nez než
nicoho ničoho
nidh nich
niecoho niečoho
nieiedy niekedy
nieioho niekoho
nieito niekto
niekecy niekedy
niekedi niekedy
niekfo niekto
niekobo niekoho
niekolko niekoľko
niekym niekým
niekím niekým
niidy nikdy
niito nikto
nikcy nikdy
nikdi nikdy
nikfo nikto
nikím nikým
nim ním
njch nich
njekedy niekedy
njekoho niekoho
njekto niekto
njkdy nikdy
njkto nikto
nom ňom
normalne normálne
normálni normálny
nosit nosiť
nou ňou
novini noviny
novinki novinky
novy nový
noví nový
noz nôž
nqozaj naozaj
nu ňu
nuz nuž
nych nich
nye nie
nyeje nieje
nyekam niekam
nyekde niekde
nyekedy niekedy
nyekoho niekoho
nyekomu niekomu
nyekoľko niekoľko
nyekto niekto
nyekým niekým
nyet niet
nykam nikam
nykdy nikdy
nykoho nikoho
nykomu nikomu
nykto nikto
nym nim
nymy nimi
nábitok nábytok
nádherní nádherný
nájst nájsť
nás náš
násho nášho
nôz nôž
ným ním
obcas občas
obet obeť
običaj obyčaj
običajne obyčajne
običajní obyčajný
objednavka objednávka
oblecenie oblečenie
obrovskí obrovský
obvikle obvykle
obvinení obvinený
obľúbení obľúbený
ocami očami
ochotní ochotný
oci oči
ocividne očividne
oddíchnuť oddýchnuť
odist odísť
odisť odísť
odkedi odkedy
odkial odkiaľ
odkyaľ odkiaľ
odpoved odpoveď
odtial odtiaľ
odtialto odtiaľto
odtyaľ odtiaľ
odtyaľto odtiaľto
odvtedi odvtedy
odíst odísť
odýsť odísť
ofec otec
ohen oheň
okamzite okamžite
okamžyte okamžite
omil omyl
ony oni
opat opäť
opatrní opatrný
opití opitý
opustit opustiť
opustyť opustiť
opytat opýtať
opytať opýtať
opät opäť
opítať opýtať
opýtat opýtať
osamelí osamelý
osobní osobný
ospravedlnit ospravedlniť
ostat ostať
ostatne ostatné
otazka otázka
otdc otec
otvorení otvorený
otvorit otvoriť
otvoryť otvoriť
ovela oveľa
očy oči
očyvydne očividne
pabe pane
pacit páčiť
pan pán
pany pani
par pár
party párty
pat päť
pačiť páčiť
pdavda pravda
pded pred
pdedtým predtým
pdesne presne
pdeto preto
pdetože pretože
pdeč preč
pdečo prečo
pdniaze peniaze
pdoblém problém
pdáve práve
pdíliš príliš
pekny pekný
pekní pekný
peniage peniaze
penjaze peniaze
penni penny
penyaze peniaze
perfektní perfektný
piesen pieseň
pimôcť pomôcť
pit piť
pitliak pytliak
pivedať povedať
piďme poďme
pišní pyšný
plan plán
platit platiť
plin plyn
plitký plytký
pliš plyš
plny plný
plní plný
plukovnik plukovník
plukovnýk plukovník
pocas počas
pochopit pochopiť
pochopyť pochopiť
pocitac počítač
pockat počkať
pockať počkať
pocut počuť
pocuvat počúvať
pocuť počuť
pocyt pocit
pocúvať počúvať
pod poď
podakovat poďakovať
podla podľa
podme poďme
podozriví podozrivý
podte poďte
pohib pohyb
pohlad pohľad
pohnút pohnúť
pohovorit pohovoriť
pokial pokiaľ
pokracovat pokračovať
pokracovať pokračovať
pokračovat pokračovať
pokyaľ pokiaľ
pokím pokým
policajní policajný
policia polícia
polycajt policajt
polýcya polícia
pomali pomaly
pomoct pomôcť
pomoz pomôž
pomôct pomôcť
pomôdť pomôcť
pomôz pomôž
poriadni poriadny
porozpravat porozprávať
porozpravať porozprávať
porozprávat porozprávať
porucik poručík
porucík poručík
poručik poručík
poručýk poručík
posadnutí posadnutý
poslat poslať
posledny posledný
poslední posledný
postarat postarať
postavit postaviť
postel posteľ
potrebovat potrebovať
pouzit použiť
pouzivat používať
pouziť použiť
použit použiť
použyť použiť
používat používať
povddať povedať
povedat povedať
povedqť povedať
povolenye povolenie
pozerat pozerať
poziadat požiadať
poziadať požiadať
poznat poznať
pozornost pozornosť
pozriet pozrieť
pozryeť pozrieť
počkat počkať
počut počuť
počuvať počúvať
počúvat počúvať
poďhe poďme
požiadat požiadať
pqne pane
prabda pravda
praca práca
prachi prachy
pracovat pracovať
prakticki prakticky
pravca pravda
prave práve
pravnik právnik
pravo právo
pravy pravý
praví pravý
prdd pred
prdto preto
prdč preč
prdčo prečo
preane presne
prebitok prebytok
prec preč
preco prečo
predat predať
predstavit predstaviť
predtym predtým
predtím predtým
prefo preto
prefože pretože
prejst prejsť
prekliati prekliaty
prekvapení prekvapený
premíšľať premýšľať
prepac prepáč
prepich prepych
presbe presne
presní presný
prestat prestať
presvedčení presvedčený
presvedčit presvedčiť
pretoze pretože
prezit prežiť
prezydent prezident
prežit prežiť
priatel priateľ
priatelka priateľka
pribeh príbeh
pridat pridať
prihlasenie prihlásenie
prihlasit prihlásiť
prijat prijať
prikrívka prikrývka
prilezitost príležitosť
priležitosť príležitosť
prilis príliš
priliš príliš
priniest priniesť
pripad prípad
pripraveny pripravený
pripravení pripravený
pripravit pripraviť
prist prísť
pristup prístup
prisť prísť
privela priveľa
priznat priznať
problem problém
proflém problém
prosim prosím
proty proti
prsten prsteň
prvy prvý
prvykrat prvýkrát
prví prvý
prvíkrát prvýkrát
pry pri
pryateľ priateľ
pryateľka priateľka
prypravyť pripraviť
prábe práve
prázdni prázdny
príiiš príliš
príjemní príjemný
prílezitosť príležitosť
príležitost príležitosť
prílis príliš
príljš príliš
príst prísť
prýbeh príbeh
prýlyš príliš
prýpad prípad
prýstup prístup
prýsť prísť
pustit pustiť
pusty pusti
pustyte pustite
pyeseň pieseň
pyvo pivo
páciť páčiť
párti párty
páčit páčiť
páčyť páčiť
pät päť
pícha pýcha
písat písať
pítať pýtať
pýtat pýtať
raca rada
rad rád
radost radosť
radsej radšej
rady radi
ranajky raňajky
rano ráno
raňajki raňajky
riaditel riaditeľ
riba ryba
ribiť robiť
rit riť
riža ryža
robit robiť
robjť robiť
robyť robiť
rodyna rodina
rofiť robiť
rovnaky rovnaký
rovnakí rovnaký
rozdyel rozdiel
rozhodnút rozhodnúť
rozpravat rozprávať
rozpravať rozprávať
rozprávat rozprávať
rqda rada
ruk rúk
rychard richard
rychlo rýchlo
ryty riti
rábo ráno
ríchli rýchly
ríchlo rýchlo
ríchlosť rýchlosť
ríchly rýchly
rípať rýpať
rýcblo rýchlo
rýchio rýchlo
sadnút sadnúť
sam sám
samozdejme samozrejme
samozrejhe samozrejme
samy sami
sanca šanca
saty šaty
sboje svoje
sboju svoju
schopny schopný
schopní schopný
sdba seba
sediet sedieť
sedyeť sedieť
sef šéf
sefa seba
serif šerif
serzant seržant
sest šesť
sesť šesť
sfále stále
siel šiel
signal signál
silny silný
silní silný
simbol symbol
sin syn
sinak synak
sinu synu
sipať sypať
sir syr
siseľ syseľ
sistém systém
situacia situácia
sití sýty
skoda škoda
skola škola
skoncit skončiť
skonciť skončiť
skontrolovat skontrolovať
skončit skončiť
skor skôr
skriť skryť
skrívať skrývať
skurvení skurvený
skusit skúsiť
skusiť skúsiť
skutocne skutočne
skutocny skutočný
skutocný skutočný
skutočny skutočný
skutoční skutočný
skvely skvelý
skvelí skvelý
skúsit skúsiť
skúsyť skúsiť
sla šla
slabí slabý
sladkí sladký
slecna slečna
sledovat sledovať
slepí slepý
sli šli
slo šlo
slobodní slobodný
slolu spolu
slávni slávny
smiesne smiešne
smrt smrť
smutní smutný
smyešne smiešne
snad snáď
snazit snažiť
snaziť snažiť
snaď snáď
snažit snažiť
snád snáď
sou šou
spat spať
specialne špeciálne
speciálne špeciálne
spievat spievať
spilu spolu
spoiu spolu
spokojní spokojný
spolocne spoločne
spolocnost spoločnosť
spolocnosť spoločnosť
spoločnost spoločnosť
sposob spôsob
sprava správa
spravit spraviť
spravne správne
spravny správny
spravyť spraviť
sprostí sprostý
správni správny
spytat spýtať
spytať spýtať
spítať spýtať
spýtat spýtať
sqmozrejme samozrejme
stale stále
starat starať
stary starý
starí starý
stastie šťastie
stastny šťastný
stat stať
stat stáť
stať stáť
stol stôl
strasne strašne
stratení stratený
stratit stratiť
stretnut stretnúť
stretnuť stretnúť
stretnút stretnúť
strielat strieľať
stryko strýko
stríko strýko
styri štyri
stáie stále
stát stáť
su sú
sud súd
svije svoje
sviju svoju
svohe svoje
svohu svoju
svojim svojím
svojych svojich
svojym svojim
svojým svojím
svätí svätý
sy si
sygnál signál
sylný silný
system systém
séf šéf
síkorka sýkorka
súdni súdny
súkromní súkromný
sťastie šťastie
sťastný šťastný
ta tá
ta ťa
tadialto tadiaľto
tadyaľto tadiaľto
taito takto
taiý taký
taiže takže
tajní tajný
tak ták
taketo takéto
takfo takto
taki taky
taktiez taktiež
taktyež taktiež
taky taký
takyto takýto
takze takže
takí taký
takíchto takýchto
takíto takýto
tancovat tancovať
tato táto
tazko ťažko
tažko ťažko
tboj tvoj
tboja tvoja
tboje tvoje
tdba teba
tdbe tebe
tdbou tebou
tdda teda
tdnto tento
tdochu trochu
tdraz teraz
tebiu tebou
tebto tento
teca teda
technicki technicky
tedaz teraz
tefa teba
tefe tebe
tefou tebou
telefon telefón
tenfo tento
tentokrat tentokrát
terqz teraz
terri terry
ti ty
ti tí
tidto tieto
tidž tiež
tiefo tieto
tiez tiež
tiho toho
tim tím
timu tomu
tip typ
tisic tisíc
tito toto
tito títo
tjeto tieto
tjež tiež
tobi toby
tobo toho
tofo toto
tohu tomu
tolko toľko
tqkto takto
tqký taký
tqkže takže
trocbu trochu
trodhu trochu
trvat trvať
try tri
tu tú
tuto túto
tuční tučný
tvar tvár
tvij tvoj
tvija tvoja
tvije tvoje
tvoha tvoja
tvohe tvoje
tvojim tvojím
tvojy tvoji
tvojych tvojich
tvrdí tvrdý
ty ti
tych tých
tycho ticho
tychto týchto
tye tie
tyeto tieto
tyež tiež
tym tým
tymi tými
tymito týmito
tymto týmto
tysýc tisíc
tyzden týždeň
tyzdne týždne
tyzdnov týždňov
tyždeň týždeň
tyždne týždne
tyždňov týždňov
tích tých
tíchto týchto
tím tým
tími tými
tímito týmito
tímto týmto
tíždeň týždeň
tíždne týždne
tíždňov týždňov
tý tí
týdh tých
tým tím
týmy tými
týto títo
týzdeň týždeň
týzdne týždne
týzdňov týždňov
týžden týždeň
týždnov týždňov
ublizit ublížiť
ubližiť ublížiť
ublíziť ublížiť
ublížit ublížiť
ublýžyť ublížiť
ucet účet
ucit učiť
ucitel učiteľ
uciť učiť
udobiť urobiť
udrzat udržať
udrzať udržať
udržat udržať
udčite určite
uistit uistiť
ukazat ukázať
ukazať ukázať
ukázat ukázať
umiť umyť
umívať umývať
unaveny unavený
unavení unavený
uplne úplne
uprimne úprimne
uprimny úprimný
urcite určite
urobit urobiť
urobjť urobiť
urobyť urobiť
urofiť urobiť
určife určite
určjte určite
určyte určite
usta ústa
utiect utiecť
utok útok
uverit uveriť
uveryť uveriť
uz už
uzasny úžasný
učet účet
učit učiť
učitel učiteľ
užasny úžasný
vacsi väčší
vacsina väčšina
vam vám
vamy vami
vas vás
vas váš
vasa vaša
vase vaše
vasej vašej
vasho vášho
vasi vaši
vasich vašich
vasim vašim
vasom vašom
vasu vašu
vazne vážne
vaš váš
vašho vášho
vašych vašich
važne vážne
vcera včera
vdaka vďaka
vddieť vedieť
vdčer večer
vdľa veľa
vdľmi veľmi
vecer večer
vecera večera
ved veď
vedidť vedieť
vediet vedieť
vedjeť vedieť
vedla vedľa
vedyeť vedieť
vela veľa
velitel veliteľ
velky veľký
velký veľký
velmi veľmi
velyteľ veliteľ
verit veriť
veryť veriť
večdr večer
veľhi veľmi
veľky veľký
veľkí veľký
veľmy veľmi
vhodní vhodný
viastne vlastne
vibavenie vybavenie
vibaviť vybaviť
vibrať vybrať
vidať vydať
vididť vidieť
vidiet vidieť
vidjeť vidieť
vidržať vydržať
viest viesť
vihlásenie vyhlásenie
vihnúť vyhnúť
vihodiť vyhodiť
vihrať vyhrať
vijadriť vyjadriť
vijsť vyjsť
vikend víkend
vimeniť vymeniť
vimislieť vymyslieť
vinimka výnimka
vinní vinný
vino víno
vipadnúť vypadnúť
viplatiť vyplatiť
vipnuť vypnúť
vipnúť vypnúť
vipočuť vypočuť
viqc viac
viraziť vyraziť
viriešiť vyriešiť
virovnať vyrovnať
viskúšať vyskúšať
visoko vysoko
visoká vysoká
visokí vysoký
vispať vyspať
vistopovať vystopovať
vistrašení vystrašený
vistúpenie vystúpenie
visvetlenie vysvetlenie
visvetliť vysvetliť
visychať vysychať
vitiahnuť vytiahnuť
vitvoriť vytvoriť
viužiť využiť
vizdvihnúť vyzdvihnúť
vizerať vyzerať
vičistiť vyčistiť
više vyše
višetrovanie vyšetrovanie
vjac viac
vjdieť vidieť
vlaatne vlastne
vlada vláda
vlastbe vlastne
vlastny vlastný
vlastní vlastný
vnutri vnútri
vnútry vnútri
vobec vôbec
voci voči
volat volať
voľní voľný
vpliv vplyv
vratit vrátiť
vratiť vrátiť
vrazda vražda
vrátit vrátiť
vrátyť vrátiť
vsade všade
vsak však
vsetci všetci
vsetkeho všetkého
vsetko všetko
vsetky všetky
vsetkych všetkých
vsetkym všetkým
vsetkymi všetkými
vsetkého všetkého
vsetkých všetkých
vsetkým všetkým
vsetkými všetkými
vtedi vtedy
vtipní vtipný
vtyp vtip
vyac viac
vyanoce vianoce
vyber výber
vyborne výborne
vybrat vybrať
vydeo video
vydyeť vidieť
vyhrat vyhrať
vylet výlet
vyna vina
vynimka výnimka
vypadnut vypadnúť
vypadnuť vypadnúť
vypadnút vypadnúť
vyriesit vyriešiť
vyriesiť vyriešiť
vyriešit vyriešiť
vysetrovanie vyšetrovanie
vysvetlit vysvetliť
vysvetlyť vysvetliť
vytaj vitaj
vytajte vitajte
vyzerat vyzerať
vzdat vzdať
vzdy vždy
vziat vziať
vzlikať vzlykať
vztah vzťah
vzyať vziať
vás váš
vásho vášho
vázne vážne
vážbe vážne
vážni vážny
väcsina väčšina
väčšyna väčšina
víber výber
víborne výborne
víborní výborný
víbuch výbuch
víchod východ
víhľad výhľad
víkon výkon
vílet výlet
vípoveď výpoveď
víraz výraz
víročie výročie
vískum výskum
vísledok výsledok
vísosť výsosť
vístrel výstrel
víznam význam
vôbdc vôbec
vôfec vôbec
výkend víkend
výsost výsosť
vďaia vďaka
vďační vďačný
vďqka vďaka
všefci všetci
všefko všetko
všefky všetky
všetcy všetci
všetdi všetci
všetio všetko
všetiy všetky
všetiých všetkých
všetkeho všetkého
všetki všetky
všetkych všetkých
všetkym všetkým
všetkymi všetkými
všetkích všetkých
všetkím všetkým
všetkími všetkými
všetkýdh všetkých
všqk však
vžcy vždy
vždi vždy
whiski whisky
yba iba
ych ich
yde ide
ydem idem
ydeme ideme
ydete idete
ydeš ideš
ydyot idiot
ydú idú
yhneď ihneď
ym im
yn in
ynak inak
yné iné
yný iný
yste iste
ystý istý
yt it
yšla išla
yšly išli
yšyel išiel
zabava zábava
zabit zabiť
zabití zabitý
zabudnut zabudnúť
zabudnuť zabudnúť
zabudnút zabudnúť
zabyť zabiť
zac zač
zacat začať
zacať začať
zachranit zachrániť
zachraniť zachrániť
zachránit zachrániť
zachrányť zachrániť
zaciatok začiatok
zakaznik zákazník
zakaždím zakaždým
zakon zákon
zamilovaní zamilovaný
zaneprázdnení zaneprázdnený
zapas zápas
zaplatit zaplatiť
zapletení zapletený
zastavit zastaviť
zastavyť zastaviť
zatial zatiaľ
zatknutí zatknutý
zatyaľ zatiaľ
zaujem záujem
zaujímaví zaujímavý
zavolat zavolať
zavraždení zavraždený
zaznam záznam
začat začať
začyatok začiatok
zbavit zbaviť
zbitočne zbytočne
zbran zbraň
zdravye zdravie
zdraví zdravý
ze že
zena žena
zenaty ženatý
ziaden žiaden
ziadny žiadny
ziskat získať
ziskať získať
zistit zistiť
zit žiť
zivot život
ziť žiť
zlatí zlatý
zlocin zločin
zly zlý
zlí zlý
zmenit zmeniť
zmenyť zmeniť
zmisel zmysel
zmätení zmätený
znamenat znamenať
znicit zničiť
zniciť zničiť
zničení zničený
zničit zničiť
znyčyť zničiť
známi známy
zobrat zobrať
zodpovednost zodpovednosť
zodpovední zodpovedný
zohnat zohnať
zomriet zomrieť
zomryeť zomrieť
zopar zopár
zostat zostať
zranení zranený
zvedaví zvedavý
zvičajne zvyčajne
zvišok zvyšok
zvlastne zvláštne
zvlaštne zvláštne
zvlástne zvláštne
zvláštni zvláštny
zvycajne zvyčajne
zvysok zvyšok
zystyť zistiť
zábavní zábavný
záležitost záležitosť
získat získať
zýskať získať
íst ísť
úbohí úbohý
úcet účet
úllne úplne
úpine úplne
úplbe úplne
úplní úplný
úprimní úprimný
úprymne úprimne
úzasný úžasný
úžasní úžasný
ýsť ísť
čakat čakať
čast časť
červení červený
čest česť
čierni čierny
čislo číslo
čistí čistý
čitať čítať
čokolvek čokoľvek
čy či
čítat čítať
čýslo číslo
ďalsí ďalší
ďalši ďalší
ďalšý ďalší
ľhdia ľudia
ľucia ľudia
ľudja ľudia
ľudskí ľudský
ľudya ľudia
šati šaty
šef šéf
šest šesť
šialení šialený
šikovní šikovný
šly šli
šmíkať šmýkať
špecialne špeciálne
špecifiký špecifický
špeciálni špeciálny
štandart štandard
štastie šťastie
štastný šťastný
štiri štyri
štiria štyria
štirmi štyrmi
štiroch štyroch
štyry štyri
štíl štýl
šyel šiel
šťastny šťastný
šťastní šťastný
šťastye šťastie
ťazko ťažko
ťažkí ťažký
žebi žeby
ženatí ženatý
žiadni žiadny
žibot život
žit žiť
živit život
živí živý
žjvot život
žyaden žiaden
žyadny žiadny
žyvot život
žyť žiť
