# Words habitually confused for each other, one group per line.
# Kazakh in Cyrillic script (42 letters). The Latin alphabet Kazakhstan is transitioning to is deliberately not used here; pkg/kb ships kbdkaz (Cyrillic) and CLDR kk is Cyrillic.
аайнинг майнинг
бостар достар
броедау брондау
брондак брондау
бугатталган бұғатталған
бугин бүгін
бугін бүгін
бузылган бұзылған
бузылған бұзылған
бул бұл
булт бұлт
буғатталған бұғатталған
бідім білім
біздиң біздің
біздін біздің
біздіғ біздің
бізлің біздің
біиақ бірақ
білим білім
біліа білім
бірак бірақ
біраұ бірақ
біринші бірінші
бірінши бірінші
біріншц бірінші
бірңнші бірінші
бүгин бүгін
бүгіе бүгін
бүүін бүгін
бұгатталған бұғатталған
бұзылган бұзылған
бұзылғаг бұзылған
бұзышған бұзылған
бұль бұлт
бұшт бұлт
бұғатталган бұғатталған
бұғатталғар бұғатталған
бұғатьалған бұғатталған
бәрі дәрі
бәрігер дәрігер
бөбім бөлім
бөдме бөлме
бөлим бөлім
бөлмн бөлме
бөліи бөлім
вабинет кабинет
вакансиф вакансия
вакарсия вакансия
валық салық
вапалы сапалы
вату сату
ватыпалушы сатыпалушы
вағат сағат
вақтықкөшірме сақтықкөшірме
ввтокөлік автокөлік
вебет себет
вегіз сегіз
вегізжүз сегізжүз
ведей кедей
вейін кейін
вигус вирус
видел видео
вилео видео
вируч вирус
влиент клиент
влпыс алпыс
влты алты
влға алға
вобака собака
воғыс соғыс
вркада аркада
встана астана
вурухана аурухана
вуыр ауыр
вуық суық
вуәлік куәлік
выйлық сыйлық
выртында сыртында
вілтеме сілтеме
вітап кітап
вқиқат ақиқат
вәлем сәлем
вәсіп кәсіп
галереы галерея
галлерея галерея
галнрея галерея
гана ғана
гемесе немесе
гміт үміт
гнсегізінші онсегізінші
гнүш онүш
грам грамм
грнату орнату
гул гүл
гылым ғылым
гүкте нүкте
дабыщ дабыл
далс дала
даптер дәптер
дари дәрі
даригер дәрігер
дарихана дәріхана
дарі дәрі
дарігер дәрігер
даріхана дәріхана
дастау бастау
дауап жауап
дауым дауыс
даша дала
даьыл дабыл
даяу баяу
дағдарлама бағдарлама
даңалық жаңалық
даңалықтар жаңалықтар
даңарған жаңарған
даңды заңды
даңсыз заңсыз
даңыс дауыс
дебео дебет
деее дене
дейин дейін
дейіп дейін
деккөру жеккөру
делет дебет
денп дене
денсаулык денсаулық
денсаулыө денсаулық
денсвулық денсаулық
деректег деректер
дереғтер деректер
десжүз бесжүз
деті жеті
дефич дефис
децис дефис
децін дейін
деңіл жеңіл
диырмаекі жиырмаекі
диянкес зиянкес
доиен домен
домер домен
досиық достық
доспар жоспар
досрар достар
достаг достар
достык достық
достыө достық
дрондау брондау
дукен дүкен
дыбыв дыбыс
дыюыс дыбыс
діздің біздің
дүкег дүкен
дүуен дүкен
дұзылған бұзылған
дұлт бұлт
дәпиер дәптер
дәптео дәптер
дәри дәрі
дәригер дәрігер
дәрихана дәріхана
дәрігег дәрігер
дәрізана дәріхана
дәріханп дәріхана
дәрң дәрі
дәрәгер дәрігер
дәті дәрі
дөлім бөлім
еана ғана
еауқас науқас
еесие несие
еино кино
еки екі
екижуз екіжүз
екижүз екіжүз
екинши екінші
екинші екінші
екігші екінші
екіжуз екіжүз
екіжүқ екіжүз
екінши екінші
екіншц екінші
екіэүз екіжүз
елпысыншы алпысыншы
елуинши елуінші
елуинші елуінші
елуінши елуінші
елуіншц елуінші
елуңнші елуінші
еортал портал
ередит кредит
ериең ертең
ерофиль профиль
ерта ерте
ертен ертең
ертеғ ертең
ертқа артқа
ерье ерте
есептикжазба есептікжазба
есептікжазбм есептікжазба
есептіңжазба есептікжазба
есик есік
ескертц ескерту
ески ескі
есккрту ескерту
ескә ескі
еспан аспан
есук есік
есіғ есік
есңі ескі
етау атау
еудио аудио
еупон купон
ешки ешкі
ешку ешкі
ешғі ешкі
еэшбэк кэшбэк
еіріс кіріс
еүзет күзет
еүндіз күндіз
еөңіл көңіл
жабв жабу
жавыл жасыл
жаду жабу
жазп жаза
жазулым жазылым
жазыбушы жазылушы
жазылушу жазылушы
жазылыс жазылым
жаиық жарық
жакап жауап
жаксы жақсы
жала дала
жалган жалған
жалдац жалдау
жалзау жалдау
жалкан жалған
жалпя жалпы
жалғап жалған
жамаг жаман
жана жаңа
жаналык жаңалық
жаналыктар жаңалықтар
жаналық жаңалық
жаналықтар жаңалықтар
жанарган жаңарған
жанарту жаңарту
жанарған жаңарған
жанбыр жаңбыр
жангырту жаңғырту
жане және
жанғырту жаңғырту
жардем жәрдем
жарык жарық
жарыщ жарық
жасан жаман
жасыщ жасыл
жауа жаңа
жауае жауап
жашпы жалпы
жаща жаза
жащсы жақсы
жақсу жақсы
жаңалуқтар жаңалықтар
жаңалык жаңалық
жаңалыктар жаңалықтар
жаңалықтап жаңалықтар
жаңалыұ жаңалық
жаңапған жаңарған
жаңарган жаңарған
жаңартц жаңарту
жаңарғап жаңарған
жаңбыг жаңбыр
жаңгырту жаңғырту
жаңерту жаңарту
жаңлыр жаңбыр
жаңп жаңа
жаңплық жаңалық
жаңғыртң жаңғырту
жаңғярту жаңғырту
жеиі жеті
жеккору жеккөру
жеккөры жеккөру
жекғөру жеккөру
жели желі
желц желі
жене дене
женил жеңіл
женилдик жеңілдік
женилис жеңіліс
женис жеңіс
женіл жеңіл
женілдік жеңілдік
женіліс жеңіліс
женіс жеңіс
жети жеті
жетижуз жетіжүз
жетижүз жетіжүз
жетинши жетінші
жетинші жетінші
жетиіс жетпіс
жеткiзу жеткізу
жеткизу жеткізу
жеткізк жеткізу
жетпис жетпіс
жетписинши жетпісінші
жетписінші жетпісінші
жетпім жетпіс
жетпімінші жетпісінші
жетпісинші жетпісінші
жетпісінши жетпісінші
жетпісіншц жетпісінші
жетунші жетінші
жетуізу жеткізу
жетіжуз жетіжүз
жетіжүқ жетіжүз
жетінши жетінші
жетіншә жетінші
жетң жеті
жетәжүз жетіжүз
жеуіс жеңіс
жещі желі
жеііл жеңіл
жеңил жеңіл
жеңилдік жеңілдік
жеңиліс жеңіліс
жеңис жеңіс
жеңуліс жеңіліс
жеңіа жеңіс
жеңілдик жеңілдік
жеңілдің жеңілдік
жеңілис жеңіліс
жеңіліч жеңіліс
жеңішдік жеңілдік
жеңіщ жеңіл
жиыриабір жиырмабір
жиыриаүш жиырмаүш
жиырмабир жиырмабір
жиырмабіп жиырмабір
жиырмаеки жиырмаекі
жиырмаекә жиырмаекі
жиырмасыншв жиырмасыншы
жиырматорт жиырматөрт
жиырматөри жиырматөрт
жиырмауш жиырмаүш
жиырмаүл жиырмаүш
жиырмвсыншы жиырмасыншы
жиырме жиырма
жиырметөрт жиырматөрт
жиырпаекі жиырмаекі
жиытма жиырма
жогары жоғары
жок жоқ
жонелту жөнелту
жосмар жоспар
жоспат жоспар
жостық достық
жоғарц жоғары
жоғпры жоғары
жуз жүз
жузинши жүзінші
жузінші жүзінші
жуктеу жүктеу
жулде жүлде
жулдыз жұлдыз
жулдызша жұлдызша
жумыс жұмыс
журек жүрек
жыбы жылы
жыдқы жылқы
жылдаа жылдам
жылжам жылдам
жылжыиайтын жылжымайтын
жылжымайтыр жылжымайтын
жылкы жылқы
жылу жылы
жылқц жылқы
жүгек жүрек
жүзинші жүзінші
жүзцнші жүзінші
жүзінши жүзінші
жүзіншу жүзінші
жүкреу жүктеу
жүктек жүктеу
жүлдк жүлде
жүоде жүлде
жүреу жүрек
жұлдвзша жұлдызша
жұлдызшк жұлдызша
жұлдыщ жұлдыз
жұлзыз жұлдыз
жұмым жұмыс
жұсыс жұмыс
жәнғ және
жәрбем жәрдем
жәрдеа жәрдем
жәре және
жөнелты жөнелту
жөнплту жөнелту
завыт зауыт
зазылушы жазылушы
залай қалай
залдау жалдау
залық халық
замаеауи заманауи
заманаут заманауи
зан заң
занды заңды
зансыз заңсыз
зара қара
зауды заңды
зауыь зауыт
зауіп қауіп
зауіпті қауіпті
зақсы жақсы
заңбыр жаңбыр
заңвыз заңсыз
заңдв заңды
заңсых заңсыз
звездочкк звездочка
звезжочка звездочка
зебет дебет
зейін дейін
зенсаулық денсаулық
зеткізу жеткізу
зетпісінші жетпісінші
ззен өзен
зиырмабір жиырмабір
зияекес зиянкес
зияндц зиянды
зиянкем зиянкес
зияпды зиянды
зиғашсызық қиғашсызық
злім өлім
золданушы қолданушы
золдау қолдау
зорғалған қорғалған
зосылу қосылу
зоңыр қоңыр
зтемақы өтемақы
зызыл қызыл
зылдам жылдам
зүзінші жүзінші
зүкен дүкен
зүктеу жүктеу
зұпиясөз құпиясөз
зұрал құрал
зұттықтау құттықтау
зәптер дәптер
зәріхана дәріхана
иайдаланушы пайдаланушы
иалап талап
иансап мансап
иаркет маркет
иедиа медиа
иейс рейс
иекеме мекеме
иектеп мектеп
иемқызмет мемқызмет
иерезе терезе
издениз іздеңіз
издеу іздеу
издеңіз іздеңіз
ииллиардыншы миллиардыншы
ииллион миллион
иинус минус
ини іні
интеинет интернет
интернер интернет
интернетт интернет
ині іні
иокен токен
иоғызыншы тоғызыншы
иоқсаныншы тоқсаныншы
ишинде ішінде
ишінде ішінде
иыңыншы мыңыншы
иікелей тікелей
иіктеу тіктеу
иұрын мұрын
иұғалім мұғалім
иәуелсіздік тәуелсіздік
йлсіз әлсіз
ймиян әмиян
кабинеь кабинет
кабмнет кабинет
кагта карта
кадагалау қадағалау
кадағалау қадағалау
каз қаз
казак қазақ
казакстан қазақстан
казақ қазақ
казақстан қазақстан
кайда қайда
кайтару қайтару
какансия вакансия
кала қала
калай қалай
калам қалам
калкан қалқан
калпынакелтиру қалпынакелтіру
калпынакелтіру қалпынакелтіру
калқан қалқан
кампания компания
камса касса
кан қан
кант қант
кар қар
кара қара
карангы қараңғы
караңғы қараңғы
каржы қаржы
картв карта
карындас қарындас
кас қас
каса касса
касип кәсіп
кассв касса
касіп кәсіп
кате қате
кауип қауіп
кауипсиз қауіпсіз
кауипсиздик қауіпсіздік
кауипти қауіпті
кауымдастык қауымдастық
кауымдастық қауымдастық
кауіп қауіп
кауіпсіз қауіпсіз
кауіпсіздік қауіпсіздік
кауіпті қауіпті
кашан қашан
квто авто
квторизация авторизация
кдам адам
кедеп кеден
кедеф кедей
кейин кейін
кейіг кейін
келей кедей
кескин кескін
кескіп кескін
кесғін кескін
кецін кейін
кеша кеше
кешириниз кешіріңіз
кеширіңіз кешіріңіз
кешіриңіз кешіріңіз
кешірініз кешіріңіз
кешіріңиз кешіріңіз
кешіріңід кешіріңіз
кешітіңіз кешіріңіз
кеще кеше
кеюен кеден
кигашсызык қиғашсызық
кидео видео
ким кім
кинт кино
кирис кіріс
киро кино
киру кіру
киріс кіріс
китап кітап
киши кіші
киші кіші
киғашсызық қиғашсызық
кккаунт аккаунт
ккіжүз екіжүз
ккінші екінші
клас класс
клигика клиника
клиено клиент
клиникв клиника
клиғнт клиент
клматы алматы
клтыжүз алтыжүз
коз көз
козкарас көзқарас
козқарас көзқарас
кой қой
койма қойма
кок көк
коктем көктем
кол көл
кол қол
колданушы қолданушы
колдау қолдау
колектив коллектив
колжетимдилик қолжетімділік
колжетімділік қолжетімділік
колик көлік
колік көлік
команде команда
комек көмек
комерция коммерция
комисия комиссия
коммнда команда
компаниы компания
компбютер компьютер
компмния компания
компьютеп компьютер
конакуй қонақүй
конақүй қонақүй
конгрес конгресс
конил көңіл
консолб консоль
кончоль консоль
коныр қоңыр
конырау қоңырау
коп көп
коргалган қорғалған
корганыс қорғаныс
корпооация корпорация
корпорациы корпорация
кору көру
корғалған қорғалған
корғаныс қорғаныс
косу қосу
косылу қосылу
косымша қосымша
кофэ кофе
кош қош
коше көше
коңыр қоңыр
коңырау қоңырау
коңіл көңіл
кредио кредит
крещит кредит
криито крипто
криптш крипто
крқылы арқылы
кстыңғысызық астыңғысызық
куалик куәлік
куалік куәлік
куат қуат
кудикти күдікті
кудікті күдікті
куеон купон
кужат құжат
куз күз
кузет күзет
куй күй
кукык құқық
кулак құлақ
кун күн
кундиз күндіз
кундіз күндіз
куос курс
купиясоз құпиясөз
купог купон
курал құрал
курч курс
кус құс
кутентификация аутентификация
куттыктау құттықтау
куш күш
кушти күшті
кушті күшті
куәлик куәлік
куәліе куәлік
куәоік куәлік
кшкі ешкі
кыз қыз
кызмет қызмет
кызыл қызыл
кылым ғылым
кыркыншы қырқыншы
кырык қырық
кырық қырық
кырқыншы қырқыншы
кыс қыс
кыска қысқа
кысқа қысқа
кэшбек кэшбэк
кэшбэң кэшбэк
кэшьэк кэшбэк
кініс кіріс
кірап кітап
кірис кіріс
кіры кіру
кірім кіріс
кітар кітап
кіту кіру
кіши кіші
кішә кіші
кіщі кіші
күдикті күдікті
күдцкті күдікті
күдікти күдікті
күдікту күдікті
күжет күзет
күзеь күзет
күндиз күндіз
күндіқ күндіз
күнщіз күндіз
күшти күшті
күшту күшті
күұті күшті
кұжат құжат
кұлақ құлақ
кұпиясөз құпиясөз
кұрал құрал
кұс құс
кұттықтау құттықтау
кұқық құқық
кәвіп кәсіп
кәсип кәсіп
кәсір кәсіп
көзкарас көзқарас
көзқарач көзқарас
көзқсрас көзқарас
көктеа көктем
көкьем көктем
көлик көлік
көліу көлік
көмеғ көмек
көніл көңіл
көоу көру
көпек көмек
көрв көру
көша көше
көще көше
көщік көлік
көііл көңіл
көңил көңіл
көңіь көңіл
лайланыс байланыс
лалық балық
ларлық барлық
ласпасөз баспасөз
ласталу басталу
лақытты бақытты
лйнату ойнату
лйын ойын
ллокчейн блокчейн
лнбесінші онбесінші
лнекінші онекінші
лнжетінші онжетінші
логип логин
логын логин
лонин логин
лонустар бонустар
лотереф лотерея
лоткрея лотерея
лыбыс дыбыс
лірақ бірақ
лқушы оқушы
лүгін бүгін
лөлме бөлме
мабақ сабақ
мадениет мәдениет
мазир мәзір
мазір мәзір
майнинр майнинг
майпинг майнинг
максат мақсат
манвап мансап
мансан мансап
марает маркет
маркео маркет
мақаат мақсат
мақсаи мақсат
мақтандыру сақтандыру
медис медиа
медицинм медицина
медиәина медицина
мееің менің
мейраихана мейрамхана
мейрамханм мейрамхана
мекегжай мекенжай
мекемғ мекеме
мекенжаф мекенжай
мекпме мекеме
мекреп мектеп
мектер мектеп
мемкызмет мемқызмет
мемлекеи мемлекет
мемлекеттик мемлекеттік
мемлекеттіғ мемлекеттік
мемлеңеттік мемлекеттік
мемлккет мемлекет
мемқцзмет мемқызмет
мемқызмео мемқызмет
менин менің
мениң менің
менім сенім
менін менің
меніғ менің
мервер сервер
мессегджер мессенджер
мессенджет мессенджер
метал металл
мещиа медиа
мибь миль
милб миль
милбион миллион
милиард миллиард
милион миллион
миллиапдыншы миллиардыншы
миллиардыншв миллиардыншы
миллиарщ миллиард
миллионыншч миллионыншы
миллиоп миллион
миллитныншы миллионыншы
миллрард миллиард
минисирлік министрлік
министрлик министрлік
министрліе министрлік
минуа минус
мирус минус
млтыншы алтыншы
млэш слэш
мнтернет интернет
мобильди мобильді
мобильдц мобильді
мобищьді мобильді
монетм монета
монкта монета
мооор мотор
мотоп мотор
мофт софт
моңы соңы
мтарт старт
мугалим мұғалім
мударым аударым
музеә музей
музчка музыка
музыке музыка
мулик мүлік
мулік мүлік
мурагат мұрағат
мурағат мұрағат
мурын мұрын
мухей музей
мушелик мүшелік
мушелік мүшелік
муғалім мұғалім
мыаық мысық
мызықша сызықша
мын мың
мыныншы мыңыншы
мысащ мысал
мысык мысық
мысыұ мысық
мычал мысал
мыңчншы мыңыншы
мыңыншу мыңыншы
мқау ақау
мүлик мүлік
мүліғ мүлік
мүшелик мүшелік
мүшелів мүшелік
мүшплік мүшелік
мүьік мүлік
мұгалім мұғалім
мұнын мұрын
мұрагат мұрағат
мұрау сұрау
мұрағаи мұрағат
мұрақ сұрақ
мұрсғат мұрағат
мұрып мұрын
мұғалим мұғалім
мұғаліп мұғалім
мұғвлім мұғалім
мәдениеи мәдениет
мәдепиет мәдениет
мәдір мәзір
мәзир мәзір
мәзіп мәзір
нагыз нағыз
надио радио
наеыз нағыз
налерея галерея
натиже нәтиже
наукас науқас
науқав науқас
науөас науқас
нағыщ нағыз
нақмет рақмет
негизги негізгі
негизгі негізгі
негізги негізгі
негізгң негізгі
негәзгі негізгі
немесн немесе
немие несие
немксе немесе
несик несие
нлюс плюс
нол нөл
нолинши нөлінші
нолт ноль
нолінші нөлінші
нощь ноль
нроцент процент
нсептікжазба есептікжазба
нукте нүкте
нікір пікір
нүате нүкте
нүктк нүкте
нәтижғ нәтиже
нәтмже нәтиже
нөлинші нөлінші
нөлунші нөлінші
нөлінши нөлінші
нөліншә нөлінші
оарих тарих
оасталу расталу
оехника техника
оеңіз теңіз
озен өзен
оире тире
ойнаті ойнату
ойнкту ойнату
ойцн ойын
ойыг ойын
ойыедар ойындар
ойындаг ойындар
ойыншц ойыншы
ойыпшы ойыншы
оку оқу
окушы оқушы
олаг олар
олапдың олардың
олардын олардың
олардығ олардың
олим өлім
олмр олар
олім өлім
омир өмір
омір өмір
онай оңай
оналиыншы оналтыншы
оналтв оналты
оналтыншу оналтыншы
онаоты оналты
онбесинши онбесінші
онбесинші онбесінші
онбесінши онбесінші
онбесіншң онбесінші
онбеч онбес
онбечінші онбесінші
онбир онбір
онбиринши онбірінші
онбирінші онбірінші
онбін онбір
онбіринші онбірінші
онбірінши онбірінші
онбіріншң онбірінші
онбітінші онбірінші
ондес онбес
ондір онбір
онеки онекі
онекинши онекінші
онекинші онекінші
онекц онекі
онекінши онекінші
онекіншң онекінші
онекәнші онекінші
онер өнер
онжерінші онжетінші
онжети онжеті
онжетинши онжетінші
онжетинші онжетінші
онжетінши онжетінші
онжетіншу онжетінші
онжетә онжеті
онжпті онжеті
онлайр онлайн
онлпйн онлайн
оннкі онекі
онсегиз онсегіз
онсегизинши онсегізінші
онсегизінші онсегізінші
онсегузінші онсегізінші
онсегізинші онсегізінші
онсегізінши онсегізінші
онсегізіншә онсегізінші
онсегіх онсегіз
онспгіз онсегіз
онтогыз онтоғыз
онтогызыншы онтоғызыншы
онторт онтөрт
онтортинши онтөртінші
онтортінші онтөртінші
онтоғчзыншы онтоғызыншы
онтоғызыншу онтоғызыншы
онтоғыщ онтоғыз
онтшғыз онтоғыз
онтһрт онтөрт
онтөрр онтөрт
онтөррінші онтөртінші
онтөртинші онтөртінші
онтөртінши онтөртінші
онтөртіншу онтөртінші
онуш онүш
онушинши онүшінші
онушінші онүшінші
онфң оның
онык оның
онын оның
оныншф оныншы
оныпшы оныншы
онүшинші онүшінші
онүшінши онүшінші
онүшіншң онүшінші
онүшәнші онүшінші
онүұ онүш
онұш онүш
оотфактура шотфактура
ормаг орман
орнатң орнату
орнсту орнату
орсан орман
орталыз орталық
орталык орталық
ортвлық орталық
оте өте
отемакы өтемақы
отемақы өтемақы
отиниш өтініш
отирик өтірік
отуз отыз
отызчншы отызыншы
отызыншу отызыншы
отыщ отыз
отініш өтініш
отірік өтірік
оуралы туралы
оығу шығу
оқвшы оқушы
оқушя оқушы
оңац оңай
оңей оңай
оүйе түйе
оұтынушы тұтынушы
оөлем төлем
пайдаланушф пайдаланушы
пайдащанушы пайдаланушы
пайыж пайыз
панело панель
панкль панель
парлль пароль
парол пароль
паролл пароль
пароло пароль
паты патч
пафыз пайыз
паьч патч
пегізгі негізгі
пенің менің
песми ресми
пикир пікір
пикір пікір
пиль миль
пинистрлік министрлік
пйқұлақ айқұлақ
плбс плюс
плуінші елуінші
плюа плюс
пойзд поезд
полиа полис
полта пошта
пороал портал
портаб портал
почта пошта
пошис полис
поштс пошта
ппта апта
пргмо промо
премиуи премиум
пресиум премиум
прман арман
програма программа
пройент процент
пройиль профиль
промт промо
професор профессор
профило профиль
процень процент
процес процесс
прте ерте
пстысызық астысызық
пузыка музыка
пуыл ауыл
пысал мысал
пікир пікір
пікіо пікір
піуір пікір
пғаш ағаш
пүшелік мүшелік
пәсімдеу рәсімдеу
пәтиже нәтиже
рабио радио
рабу табу
радиь радио
ракмет рақмет
рамаша тамаша
рариф тариф
расимдеу рәсімдеу
расоау растау
расралу расталу
расталі расталу
растац растау
расімдеу рәсімдеу
рағыз нағыз
рақмеи рақмет
рақпет рақмет
реами ресми
рейм рейс
рейтинү рейтинг
рейьинг рейтинг
рексеру тексеру
релефон телефон
ресмм ресми
рефс рейс
рйыншы ойыншы
рнбір онбір
рнлайн онлайн
рнтөрт онтөрт
ролис полис
ролы толы
роль ноль
рошта пошта
рремиум премиум
рромо промо
ріркеу тіркеу
рүпнұсқа түпнұсқа
рәсимдеу рәсімдеу
рәсіидеу рәсімдеу
рәсімдев рәсімдеу
рөлеу төлеу
рөлінші нөлінші
рөлқұжат төлқұжат
рөртінші төртінші
сабаз сабақ
сабак сабақ
сабым салым
сагат сағат
сагы сары
саеат сағат
сайр сайт
сайыт сайт
сактандыру сақтандыру
сактыккоширме сақтықкөшірме
сактықкөшірме сақтықкөшірме
салақ сабақ
салем сәлем
салемдеме сәлемдеме
салкын салқын
салыи салым
салык салық
салыұ салық
салқыг салқын
салұын салқын
саоу сату
сапалф сапалы
сапелы сапалы
сарф сары
сатц сату
сатыеалу сатыпалу
сатылыа сатылым
сатыпалушц сатыпалушы
сатыпалі сатыпалу
сатыпплушы сатыпалушы
сатялым сатылым
сафт сайт
саьық салық
саяхаь саяхат
саяһат саяхат
сағаи сағат
сақтандыры сақтандыру
сақтардыру сақтандыру
сақтыккөшірме сақтықкөшірме
сақтықеөшірме сақтықкөшірме
сақтықкошірме сақтықкөшірме
сақтықкөширме сақтықкөшірме
сақтықкөшірма сақтықкөшірме
сеанв сеанс
себеи себет
себен себеп
сегиз сегіз
сегизжуз сегізжүз
сегизжүз сегізжүз
сегизинши сегізінші
сегизінші сегізінші
сегіж сегіз
сегізжуз сегізжүз
сегізжүө сегізжүз
сегізинші сегізінші
сегізінши сегізінші
сегізіншң сегізінші
сегіқжүз сегізжүз
сегің сенің
сегіөінші сегізінші
седет себет
седицина медицина
сезим сезім
сезіи сезім
сейрамхана мейрамхана
секенжай мекенжай
сексег сексен
сексегінші сексенінші
сексенинши сексенінші
сексенинші сексенінші
сексенінши сексенінші
сексеніншц сексенінші
секчен сексен
семлекеттік мемлекеттік
сеним сенім
сенимди сенімді
сенимді сенімді
сенин сенің
сениң сенің
сенімди сенімді
сенімдң сенімді
сенін сенің
сеніп сенім
сеніу сенің
сенәмді сенімді
сепнс сеанс
сервеи сервер
серуер сервер
серім сенім
сесия сессия
сессенджер мессенджер
сешіз сегіз
сеьеп себеп
сеөім сезім
сивр сиыр
сиз сіз
сиздин сіздің
сиздің сіздің
силлионыншы миллионыншы
силтеме сілтеме
сирус вирус
сиын сиыр
сиякты сияқты
сияқтф сияқты
сияөты сияқты
слаяқтық алаяқтық
слъш слэш
слэү слэш
собакк собака
собильді мобильді
собпка собака
согыс соғыс
соз сөз
сойлесу сөйлесу
сонгы соңғы
соны соңы
сонғы соңғы
соуы соңы
софо софт
соят софт
соғыч соғыс
соғғы соңғы
соңгы соңғы
соңу соңы
соңыс соғыс
соңғф соңғы
спаа спам
сппм спам
ссхана асхана
старо старт
стврт старт
стним стрим
стрии стрим
сувқ суық
сузей музей
супет сурет
сур сұр
сурак сұрақ
сураныс сұраныс
сурау сұрау
сурақ сұрақ
суреь сурет
сут сүт
суыз ауыз
суык суық
суыұ суық
сую сүю
сызчқша сызықша
сызыкша сызықша
сызықше сызықша
сыйакы сыйақы
сыйақя сыйақы
сыйдық сыйлық
