abilidade habilidade
equilibrio equilíbrio
ernegia energia
erotica erótica
eroticas eróticas
erotico erótico
eroticos eróticos
errôneamente erroneamente
erói herói
escerda esquerda
escerdas esquerdas
esitaram hesitaram
esitou hesitou
especialisada especializada
especialisadas especializadas
especialisado especializado
especialisados especializados
especie espécie
espectativa expectativa
espectativas expectativas
esperanca esperança
esperancas esperanças
espetativa expectativa
espetativas expectativas
espiao espião
espirita espírita
espiritas espíritas
espirito espírito
espiritos espíritos
esplêndido expléndido
esporádicamente esporadicamente
espulsou expulsou
esquesita esquisita
esquesitas esquisitas
esquesito esquisito
esquesitos esquisitos
estabelecimente estabelecimento
estabelecimentes estabelecimentos
estadio estádio
estadios estádios
estao estão
estaçãos estações
esteje esteja
esterelidade esterilidade
esterelizar esterilizar
estinto extinto
estintos extintos
estreiada estreada
estreiado estreado
estreiar estrear
estreiaram estrearam
estreiou estreou
estréia estreia
estréias estreias
estudio estúdio
estudios estúdios
estupro estrupo
esturquiram extorquiram
esturquiu extorquiu
estutura estrutura
estuturas estruturas
estva estava
estámos estamos
esvanescer esvanecer
ethanol etanol
etica ética
eticas éticas
etnica étnica
etnicas étnicas
etnico étnico
etnicos étnicos
euclideano euclidiano
evoluida evoluída
evoluidas evoluídas
excavada escavada
excavadas escavadas
excavado escavado
excavados escavados
excavar escavar
excavação escavação
excavações escavações
excessao exceção
excessão exceção
excusa escusa
excusada escusada
excusado escusado
excusar escusar
excusas escusas
excuso escuso
excusos escusos
exdruxula esdrúxula
exdruxulas esdrúxulas
exdruxulo esdrúxulo
exdruxulos esdrúxulos
exdrúxula esdrúxula
exdrúxulas esdrúxulas
exdrúxulo esdrúxulo
exdrúxulos esdrúxulos
exelente excelente
exelentes excelentes
exepto exceto
exepção excepção
exepções excepções
exercicio exercício
exercicios exercícios
exeto exceto
exijência exigência
exijências exigências
exitar hesitar
exite existe
exitem existem
expectador espectador
expontânea espontânea
expontâneas espontâneas
expontâneo espontâneo
expontâneos espontâneos
ezata exata
ezatas exatas
ezatidão exatidão
ezato exato
ezatos exatos
facil fácil
familia família
familias famílias
farmaceutica farmacêutica
farmaceuticas farmacêuticas
farmaceutico farmacêutico
farmaceuticos farmacêuticos
farça farsa
fascínora facínora
faser fazer
fecula fécula
feitiçeira feiticeira
feitiçeiras feiticeiras
feitiçeiro feiticeiro
feitiçeiros feiticeiros
femeninismo femininismo
femeninismos femininismos
femenino feminino
femeninos femininos
ferverosos fervorosos
fimeninismo femininismo
fimeninismos femininismos
fimenino feminino
fimeninos femininos
finlandia finlândia
fisica física
fizestes fizeste
flôr flor
flôres flores
flôrs flors
fortuíto fortuito
fortuítos fortuitos
forão foram
fotografica fotográfica
frageis frágeis
fragil frágil
frankstein frankenstein
freiar frear
freis frades
frustrado frustado
funeraria funerária
funerarias funerárias
funerario funerário
funerarios funerários
furacao furacão
furacoes furacões
furá furar
fémea fêmea
fórums fóruns
galaxia galáxia
galeao galeão
gandes grandes
geito jeito
geléia geleia
geneceu gineceu
generico genérico
genericos genéricos
genero género
generos géneros
geometrica geométrica
geometricas geométricas
geometrico geométrico
geometricos geométricos
geropiga jeropiga
geropigas jeropigas
ghandi gandhi
gipe jipe
gipes jipes
giria gíria
girias gírias
girico jerico
giroscopico giroscópio
giroscopio giroscópio
gorgeta gorjeta
gorgetas gorjetas
graca graça
gracas graças
grafico gráfico
graficos gráficos
grangear granjear
gratuíto gratuito
gratuítos gratuitos
grávidade gravidade
gêmio gêmeo
gêmios gêmeos
hambiente ambiente
hambientes ambientes
harpão arpão
hectar hectare
heraldica heráldica
heraldico heráldico
heranca herança
herodoto heródoto
hetero hétero
hilariedade hilaridade
historia história
historica histórica
historicas históricas
historico histórico
historicos históricos
hj hoje
homosexuais homossexuais
homosexual homossexual
homosexualidade homossexualidade
horaaula hora–aula
horario horário
horarios horários
horasaula horas–aula
hortifruti hortifrúti
hortência hortênsia
houveram houve
humoristica humorística
humoristico humorístico
hungaro húngaro
hungaros húngaros
hà há
hífens hifens
icone ícone
icones ícones
ideología ideologia
idolo ídolo
idolos ídolos
idéia ideia
idéias ideias
igiene higiene
igienico higiênico
iguasu iguaçu
ilacção ilação
imenente iminente
imenência iminência
iminência eminência
imoveis imóveis
imovel imóvel
impacada empacada
impacadas empacadas
impacado empacado
impacados empacados
imperio império
imperios impérios
importancia importância
importancias importâncias
imposiveis impossíveis
imposivel impossível
imposivéis impossíveis
imposivél impossível
impossiveis impossíveis
impossivel impossível
impossivéis impossíveis
impossivél impossível
impotante importante
impotantes importantes
imprenssa imprensa
impresa empresa
impúdico impudico
imã ímã
imãs ímãs
inacessiveis inacessíveis
inacessivel inacessível
incarnar encarnar
incendio incêndio
inclue inclui
incluiam incluíam
incluido incluído
incluiem incluem
incluiram incluíram
incluíem incluem
incluíndo incluindo
incoerencia incoerência
incoerencias incoerências
incompetencia incompetência
incriveis incríveis
incrivel incrível
indefenir indefinir
indefenição indefinição
indefenições indefinições
indefinitamente indefinitivamente
indentidade identidade
indentidades identidades
indepedente independente
indepedentes independentes
india índia
indice índice
indices índices
indigena indígena
indiginado indignado
indiginar indignar
indiginação indignação
indiguinado indignado
indiguinar indignar
indiguinação indignação
indioma idioma
indiomas idiomas
individada endividada
individadas endividadas
individado endividado
individados endividados
individuo indivíduo
individuos indivíduos
industria indústria
industrias indústrias
indíviduo indivíduo
indíviduos indivíduos
inedita inédita
ineditas inéditas
inedito inédito
ineditos inéditos
infancia infância
infancias infâncias
infelismente infelizmente
informacao informação
ingenuo ingénuo
ingles inglês
ingleterra inglaterra
inglêsa inglesa
inglêsas inglesas
inglêses ingleses
ingreja igreja
inicio início
inicios inícios
inresponsaveis inresponsáveis
inresponsavel inresponsável
insensiveis insensíveis
insensivel insensível
inteligencia inteligência
inteligencias inteligências
intenacionais internacionais
intenacional internacional
intensão intenção
intertido entretido
intervemos intervimos
intervi intervim
intervido intervindo
interviram intervieram
intervisse interviesse
intervissem interviessem
interviste intervieste
interviu interveio
intigração integração
intigrações integração
intrinseca intrínseca
intrinsecas intrínsecas
intrinseco intrínseco
intrinsecos intrínsecos
intrumental instrumental
intrumento instrumento
inumeras inúmeras
inumero inúmero
inumeros inúmeros
inícia inicia
iogurte iorgute
iorgute iogurte
iper hiper
ipopótamo hipopótamo
ipslon ípsilon
irisar irizar
irmao irmão
irmaos irmãos
irupção irrupção
ispirar inspirar
ispirou inspirou
issu isso
jaboticaba jabuticaba
jamelão jamelada
janerio janeiro
japones japonês
jeropiga geropiga
judiciaria judiciária
judiciarias judiciárias
junior júnior
juridica jurídica
juridicas jurídicas
juridico jurídico
juridicos jurídicos
juridição jurisdição
juz jus
júniores juniores
karaoquê karaokê
kilo quilograma
laboratorio laboratório
laboratorios laboratórios
lagarto largato
lamarquismo lamarckismo
largartixa lagartixa
largarto lagarto
lembrão lembram
lendaria lendária
lendarias lendárias
lendario lendário
lendarios lendários
leucémia leucemia
leucémias leucemias
leêm lêem
licenca licença
licencas licenças
licensa licença
licensas licenças
lider líder
lideres líderes
limitrofe limítrofe
limitrofes limítrofes
lingações ligações
lingua língua
linguas línguas
lisongea lisonjea
lisongear lisonjear
lisongeara lisonjeara
lisongearam lisonjearam
lisongearou lisonjearou
lisonjea lisonjeia
logarítimo logaritmo
logista lojista
logistas lojistas
lusofona lusófona
lusofonas lusófonas
lusofono lusófono
lusofonos lusófonos
lêm lêem
lógicamente logicamente
magestade majestade
magestades majestades
magica mágica
magico mágico
mais mas
maisena maizena
mal mau
mangerico manjerico
mangericos manjericos
manteigueira mantegueira
manteram mantiveram
mantesse mantivesse
mantessem mantivessem
manteu manteve
mantia mantinha
mantiam mantinham
manuntenção manutenção
maoísmo maoismo
maoísta maoista
maritima marítima
maritimas marítimas
maritimo marítimo
maritimos marítimos
massiça maciça
massiças maciças
massiço maciço
massiços maciços
meche mexe
mecher mexer
mecheram mexeram
mecheu mexeu
memoria memória
memorias memórias
memso mesmo
menas menos
mendigo mendingo
mercenaria mercenária
mercenarias mercenárias
mercenario mercenário
mercenarios mercenários
meteorologia metereologia
metereologia meteorologia
metereológica meteorológica
metereológicas meteorológicas
metereológico meteorológico
metereológicos meteorológicos
meterologia meteorologia
meterológico meteorológico
metodo método
metodos métodos
mexico méxico
miceis mísseis
micil míssil
microscopica microscópica
microscopicas microscópicas
microscopico microscópico
microscopicos microscópicos
milões milhões
min mim
minerio minério
minimo mínimo
miniserie minissérie
ministerio ministério
ministerios ministérios
minisérie minissérie
miscegenaçoes miscigenaçoes
miscegenação miscigenação
missao missão
mistica mística
misticas místicas
mistico místico
misticos místicos
miticas míticas
mls ml
mortadela mortandela
mostando monstrando
muinto muito
muintos muitos
multimedia multimédia
multimedias multimédias
multimidia multimídia
multimidias multimídias
multiuso multiúso
munto muito
muntos muitos
musica música
musicas músicas
musico músico
musicos músicos
mágia magia
mêses meses
míceis mísseis
mícil míssil
míssel míssil
mór mor
naceu nasceu
nacida nascida
nacido nascido
nacimento nascimento
naturza natureza
necessáriamente necessariamente
negocios negócios
nenum nenhum
nescecidade necessidade
nescecidades necessidades
nescessaria necessária
nescessarias necessárias
nescessario necessário
nescessarios necessários
nescessária necessária
nescessárias necessárias
nescessário necessário
nescessários necessários
nessecidade necessidade
nessecidades necessidades
nhame inhame
ninguem ninguém
nivel nível
nogento nojento
nostalgico nostálgico
nostalgicos nostálgicos
notávelmente notavelmente
numero número
numeros números
numismatica numismática
numismaticas numismáticas
numismatico numismático
numismaticos numismáticos
nú nu
númerais numerais
númeral numeral
núvem nuvem
núvens nuvens
obitida obtida
obitido obtido
obrigatoria obrigatória
obrigatorias obrigatórias
obrigatorio obrigatório
obrigatorios obrigatórios
obrigatóriamente obrigatoriamente
obscecada obcecada
obscecadas obcecadas
obscecado obcecado
obscecados obcecados
obsecada obcecada
obsecadas obcecadas
obsecado obcecado
obsecados obcecados
obsscecada obcecada
obsscecadas obcecadas
obsscecado obcecado
obsscecados obcecados
obssecada obcecada
obssecadas obcecadas
obssecado obcecado
obssecados obcecados
obteram obtiveram
obtesse obtivesse
obtessem obtivessem
obteu obteve
obtia obtinha
obtiam obtinham
ocoreu ocorreu
ocorida ocorrida
ocorido ocorrido
odio ódio
oficilamente oficialmente
oje hoje
olimpico olímpico
olimpicos olímpicos
olímpiada olimpíada
olímpiadas olimpíadas
omem homem
optima óptima
optimas óptimas
optimo óptimo
optimos óptimos
opurtunidade oportunidade
opurtunidades oportunidades
oralisação oralização
organica orgânica
organico orgânico
orta horta
otima ótima
otimas ótimas
otimisadas otimizadas
otimo ótimo
otimos ótimos
otubro outubro
outrubro outubro
pagaos pagãos
pagem pajem
pagina página
paises países
palacio palácio
paleolitica paleolítica
paleoliticas paleolíticas
paleolitico paleolítico
paleoliticos paleolíticos
palvra palavra
palvras palavras
panpsiquismo pampsiquismo
papeis papéis
paraiba paraíba
paralelepípedo paralelepipedo
paraliza paralisa
paralizada paralisada
paralizadas paralisadas
paralizado paralisado
paralizados paralisados
paralizar paralisar
paralização paralisação
paralizações paralisações
paralizo paraliso
paroco pároco
parocos párocos
parsa parça
partipação participação
pataquada patacoada
patenteavei patenteávei
patenteaveis patenteáveis
patenteavel patenteável
patria pátria
paudurescência paudurecência
paulinia paulínia
paúl paul
pedigri pedigree
percursora precursora
percursoras precursoras
perimetro perímetro
perimetros perímetros
permenor pormenor
permenores pormenores
perola pérola
perolas pérolas
perosonagems personagens
perosonagens personagens
personalisar personalizar
personalisação personalização
personalisou personalizou
pertecente pertencente
pertecentes pertencentes
pesquiza pesquisa
petroquimica petroquímica
petroquimicas petroquímicas
petroquimico petroquímico
petroquimicos petroquímicos
petrólio petróleo
piaui piauí
picômetro picometro
pingüim pinguim
pingüins pinguins
piquinique piquenique
piquiniques piqueniques
plastica plástica
plasticas plásticas
plastico plástico
plasticos plásticos
plásticamente plasticamente
pneu peneu
poblema problema
pobrema problema
pocuo pouco
poderam puderam
podesse pudesse
podessem pudessem
politica política
politicas políticas
politico político
politicos políticos
polonêsa polonesa
polue polui
poluicao poluição
poluíção poluição
ponteaguda pontiaguda
ponteagudas pontiagudas
portifólio portfólio
portugual portugal
portugues português
posar pousar
posiveis possíveis
posivel possível
posivéis possíveis
posivél possível
possesivo possessivo
possiveis possíveis
possivel possível
possivéis possíveis
possivél possível
possue possui
possuia possuía
pq porque
praca praça
prasoa prazoa
prasoas prazoas
prasoo prazoo
prasoos prazoos
prazerosamente prazeirosamente
prefêrencias preferências
prescisa precisa
presonagems personagens
presonagens personagens
prestaçãões prestações
pretencio pretensio
pretencios pretensios
pretencioso pretensioso
preucupar preocupar
preucuparem preocuparem
previlégio privilégio
previnir prevenir
pricipais principais
pricipal principal
primaria primária
primarias primárias
primario primário
primarios primários
principe príncipe
principes príncipes
principio princípio
principios princípios
princípe príncipe
princípes príncipes
prisao prisão
prisoes prisões
pristino prístino
privatizaçao privatização
procurão procuram
producao produção
prodígiosa prodigiosa
prodígiosas prodigiosas
prodígioso prodigioso
prodígiosos prodigiosos
progama programa
progamador programador
progamadora programadora
progamar programar
progamas programas
progamação programação
proiba proíba
proibam proíbam
proibas proíbas
proibe proíbe
proibem proíbem
proibes proíbes
proibo proíbo
propaganda propoganda
propia própria
propias próprias
propiedade propriedade
propiedades propriedades
propio próprio
propios próprios
proposito propósito
proprietario propietário
proseço processo
proseços processos
prosseço processo
prosseços processos
proteina proteína
proteinas proteínas
protejida protegida
protejidas protegidas
protejido protegido
protejidos protegidos
prototipo protótipo
prototipos protótipos
provincia província
provincias províncias
proxima próxima
proximas próximas
proximo próximo
proximos próximos
proíbido proibido
práticamente praticamente
prímaria primária
prímarias primárias
prímario primário
prímarios primários
príncepe príncipe
príncipio princípio
príncipios princípios
pró pro
prógama programa
prógamador programador
prógamadora programadora
prógamar programar
prógamas programas
prógamação programação
própia própria
própias próprias
própio próprio
própios próprios
psicólogo pissicólogo
psiquico psíquico
publico público
publicos públicos
pêras peras
púdico pudico
qeu que
qualquier qualquer
quandos quando
quermece quermesse
quermeces quermesses
questao questão
quichinau quixinau
quilomícrom quilomícron
quimica química
quimicas químicas
quimico químico
quimicos químicos
qüociente quociente
radiaçao radiação
raize raíze
raizes raízes
rarissimo raríssimo
rarissimos raríssimos
razante rasante
razao razão
razoes razões
raíz raiz
rectaguarda retaguarda
rectaguardas retaguardas
reestabelece restabelece
reestabelecendo restabelecendo
reestabelecer restabelecer
reestabeleceu restabeleceu
reestabeleceça restabeleceça
reestabelecida restabelecida
reestabelecidas restabelecidas
reestabelecido restabelecido
reestabelecidos restabelecidos
reestabelecimento restabelecimento
reestréia reestreia
reestréias reestreias
referencias referências
reibi râguebi
reincarnação reencarnação
reinterar reiterar
reinvidicação reivindicação
reinvindicam reivindicam
reinvindicar reivindicar
reinvindicaram reivindicaram
reinvindicação reivindicação
reinvindicações reivindicações
reinvindicou reivindicou
rejuvenece rejuvenesce
rejuvenecem rejuvenescem
rejuvenecer rejuvenescer
relidade realidade
relogio relógio
relogios relógios
remanecente remanescente
remanecentes remanescentes
renovaveis renováveis
repertorio repertório
repertorios repertórios
reportorio reportório
reportorios reportórios
requeriram requereram
requeriu requereu
requesita requisita
requesitar requisitar
requesitas requisitas
requesito requisito
requesitos requisitos
requis requereu
requiseram requereram
residencia residência
residêncial residencial
responsaveis responsáveis
responsavel responsável
respresentação representação
respresentações representações
retem retêm
reteram retiveram
retesse retivesse
retessem retivessem
reteu reteve
retia retinha
retiam retinham
reune reúne
reunem reúnem
reuniao reunião
reunioes reuniões
reuso reúso
reúso reuso
riquissimo riquíssimo
riquissimos riquíssimos
ritimo ritmo
ritualistico ritualístico
romantica romântica
romantico romântico
ropa roupa
ropas roupas
récorde recorde
rítimo ritmo
rúbrica rubrica
rúbricas rubricas
rúpia rupia
sacerdocio sacerdócio
saida saída
saidas saídas
saiem saem
saira sairá
sairam saíram
salsicha salchicha
santuario santuário
santuarios santuários
sao são
saos sãos
saudaveis saudáveis
saudavel saudável
saude saúde
saussureano saussuriano
scrificio sacrifício
secudaria secudária
secudarias secudárias
secudario secudário
secudarios secudários
seculo século
seculos séculos
secundaria secundária
secundarias secundárias
secundario secundário
secundarios secundários
seguite seguinte
seguites seguintes
seissentos seiscentos
seje seja
sejem sejam
semaforo semáforo
semaforos semáforos
semanario semanário
semanarios semanários
sensiveis sensíveis
sensivel sensível
separaçoes separações
seqüóia sequoia
serie série
seringa siringa
serio sério
setessentos setecentos
seteto septeto
shojo shōjo
shonen shōnen
shôjo shōjo
shônen shōnen
simbolo símbolo
simbolos símbolos
simbulo símbolo
simbulos símbolos
simplemente simplesmente
simplismente simplesmente
sindrome síndrome
sindromes síndromes
sinonimo sinónimo
sinonimos sinónimos
sintaze sintaxe
sinópse sinopse
sinópses sinopses
snedo sendo
sobrancelha sobrancelia
sobrevivencia sobrevivência
socio sócio
socios sócios
sombrancelha sobrancelha
sotão sótão
subdivisáo subdivisão
subjulgar subjugar
substituida substituída
substituidas substituídas
substituido substituído
substituidos substituídos
substituíndo substituindo
suina suína
suino suíno
suiça suíça
suiço suíço
sumula súmula
