# Words habitually confused for each other, one group per line.
# Kyrgyz in Cyrillic script (36 letters). pkg/kb ships kbdkyr (Kyrgyz Cyrillic); CLDR ky is Cyrillic. Letters CLDR keeps in auxiliary (в ф ц щ ь) are included because they belong to the standard alphabet and occur in Russian loans.
ааат саат
балыв балык
бана банк
банкк банк
бардыу бардык
барзык бардык
бары дары
барыгер дарыгер
басмасоз басмасөз
басмасөх басмасөз
басмксөз басмасөз
бафге байге
бахар базар
бацке байке
башиоо баштоо
башкаруы башкаруу
башккруу башкаруу
башталыо башталыш
баштвлыш башталыш
баштол баштоо
башч башы
баща бала
бащы башы
баюы бажы
белеа белек
бепозит депозит
бептер дептер
бешжуз бешжүз
бешжүщ бешжүз
бешинчм бешинчи
бешрнчи бешинчи
бешюүз бешжүз
бещек белек
беңиз деңиз
бидим билим
биздип биздин
бизлин биздин
бийлие бийлик
бийоик бийлик
билдируу билдирүү
билдируү билдирүү
билдирүу билдирүү
билдррүү билдирүү
билиа билим
биринчр биринчи
биров бирок
бирпнчи биринчи
биток бирок
бишвек бишкек
бишкекк бишкек
бишкеу бишкек
блоквейн блокчейн
блокчейе блокчейн
блор блог
бльг блог
боготтолгон бөгөттөлгөн
богус бонус
богөттөлгөн бөгөттөлгөн
болмо бөлмө
болмө бөлмө
болум бөлүм
болүм бөлүм
бонув бонус
борбот борбор
бордор борбор
брогдоо брондоо
брондоь брондоо
бугун бүгүн
бугүн бүгүн
бузубган бузулган
бузулгап бузулган
бузулук бузулуу
бузцлуу бузулуу
булур булут
бущут булут
бүгун бүгүн
бүгүг бүгүн
бүнүн бүгүн
бөготтөлгөн бөгөттөлгөн
бөгөтиөлгөн бөгөттөлгөн
бөгөттолгөн бөгөттөлгөн
бөгөттөлгон бөгөттөлгөн
бөгөттөлгөг бөгөттөлгөн
бөдмө бөлмө
бөлмо бөлмө
бөлум бөлүм
бөлүа бөлүм
бөьүм бөлүм
вабар кабар
вабинет кабинет
вайда кайда
вайрылуу кайрылуу
вайтаруу кайтаруу
вактагыч сактагыч
валкын салкын
валыбынакелтирүү калыбынакелтирүү
вамдык камдык
вамсыздандыруу камсыздандыруу
вапаттуу сапаттуу
ваптоо каптоо
вараңгы караңгы
варжы каржы
ватыпалуу сатыпалуу
вебет себет
весип кесип
вечиресиз кечиресиз
взартуу узартуу
взун узун
вигус вирус
видел видео
вилео видео
вируч вирус
вичине кичине
вкук укук
вкыркы акыркы
влга алга
влты алты
влым алым
вобака собака
волдоо колдоо
вомпания компания
вонсоль консоль
воргоо коргоо
вркада аркада
врыз арыз
встысызык астысызык
всык ысык
вупон купон
выгаруу чыгаруу
выгуу чыгуу
выймылсыз кыймылсыз
вырк кырк
выртында сыртында
выял кыял
вэшбэк кэшбэк
вүбөлүк күбөлүк
вөзөмөл көзөмөл
вөчө көчө
гаар шаар
гага гана
гакта накта
галереы галерея
галкрея галерея
галлерея галерея
ганм гана
гатыйжа натыйжа
гесторан ресторан
гйнотуу ойнотуу
гкуучу окуучу
гналтынчы оналтынчы
гнбиринчи онбиринчи
гнтогуз онтогуз
гнтогузунчу онтогузунчу
горулуу оорулуу
грам грамм
гтуз отуз
гтузунчу отузунчу
гул гүл
дабуу жабуу
давод завод
дагч дагы
даиак дарак
даиыя дарыя
далган жалган
данек дарек
дарау дарак
дардам жардам
дарее дарек
дару дары
дарчгер дарыгер
дары дагы
дарывана дарыкана
дарыгег дарыгер
дарыканк дарыкана
дарыф дарыя
дасалма жасалма
дасмасөз басмасөз
даты дары
даштоо баштоо
даңылык жаңылык
даңылыктар жаңылыктар
дебео дебет
деее дене
делет дебет
дениз деңиз
денн дене
денсоолуе денсоолук
денсролук денсоолук
депиер дептер
депозиь депозит
дептег дептер
депьзит депозит
дети жети
детимиш жетимиш
детимишинчи жетимишинчи
детинчи жетинчи
дефич дефис
децис дефис
деңил жеңил
деңих деңиз
дийлик бийлик
доиен домен
докумень документ
докусент документ
домер домен
досиор достор
досоук достук
достоо достор
достуу достук
дузулуу бузулуу
дукон дүкөн
дукөн дүкөн
думуш жумуш
дурболон дүрбөлөң
дурбөлөң дүрбөлөң
дыйырманчы жыйырманчы
дыйырмаүч жыйырмаүч
дүгүн бүгүн
дүкон дүкөн
дүкөг дүкөн
дүрболөң дүрбөлөң
дүрбөлоң дүрбөлөң
дүрбөлөн дүрбөлөң
дүуөн дүкөн
дөгөттөлгөн бөгөттөлгөн
дөнөтүү жөнөтүү
еалыбына калыбына
еант кант
еапчык капчык
еасыя насыя
еино кино
елиент клиент
елуу алуу
еоманда команда
еоопсуздук коопсуздук
еортал портал
еосылка посылка
ередит кредит
ерипто крипто
ерофиль профиль
еудио аудио
ечуу ачуу
ешкана ашкана
еыркынчы кыркынчы
еягы аягы
еүрөң күрөң
еөзөмөлдөө көзөмөлдөө
еөрүү көрүү
жабуы жабуу
жаеа жана
жажа жаза
жазп жаза
жазчлуу жазылуу
жазылуучк жазылуучу
жазылуы жазылуу
жазыоуучу жазылуучу
жакшу жакшы
жалгап жалган
жалдот жалдоо
жалоан жалган
жалпя жалпы
жалуу жабуу
жалщоо жалдоо
жамаг жаман
жамгып жамгыр
жамшыр жамгыр
жанды жарды
жанп жана
жаны жаңы
жанык жарык
жанылык жаңылык
жанылыктар жаңылыктар
жаныртуу жаңыртуу
жаныртылган жаңыртылган
жаооо жашоо
жарбам жардам
жардас жардам
жардя жарды
жарек дарек
жарые жарык
жасалмм жасалма
жасан жаман
жасслма жасалма
жаушы жакшы
жашог жашоо
жашпы жалпы
жашыо жашыл
жащыл жашыл
жаңч жаңы
жаңылвктар жаңылыктар
жаңылыа жаңылык
жаңылыктан жаңылыктар
жаңыотуу жаңыртуу
жаңыртув жаңыртуу
жаңыртылгар жаңыртылган
жаңырьылган жаңыртылган
жаңялык жаңылык
жеккоруу жеккөрүү
жеккорүү жеккөрүү
жеккөруү жеккөрүү
жеккөрүу жеккөрүү
жене дене
женил жеңил
женилуу жеңилүү
женилүү жеңилүү
жениш жеңиш
жери жети
жетижуз жетижүз
жетижүд жетижүз
жетимио жетимиш
жетимишинчр жетимишинчи
жетимпшинчи жетимишинчи
жетинчр жетинчи
жеткируу жеткирүү
жеткируү жеткирүү
жеткирүу жеткирүү
жеткпрүү жеткирүү
жетпжүз жетижүз
жетпмиш жетимиш
жетпнчи жетинчи
жетр жети
жеңиг жеңиш
жеңилуү жеңилүү
жеңилүу жеңилүү
жеңищ жеңил
жеңмлүү жеңилүү
жлес элес
жмне эмне
жоглру жогору
жогорв жогору
жокумент документ
жонотуу жөнөтүү
жонундо жөнүндө
жонүндө жөнүндө
жонөтүү жөнөтүү
жоор жооп
жорп жооп
жркек эркек
жрте эрте
жскертүү эскертүү
жуз жүз
жузунчу жүзүнчү
жузүнчү жүзүнчү
жуиуш жумуш
жуктоо жүктөө
жуктөө жүктөө
жумул жумуш
журок жүрөк
журөк жүрөк
жшик эшик
жыдуу жылуу
жыйфрма жыйырма
жыйынмаүч жыйырмаүч
жыйырианчы жыйырманчы
жыйыриаэки жыйырмаэки
жыйырмабин жыйырмабир
жыйырманчч жыйырманчы
жыйырматорт жыйырматөрт
жыйырматөри жыйырматөрт
жыйырмауч жыйырмаүч
жыйырмаэкп жыйырмаэки
жыйырмаүс жыйырмаүч
жыйырмп жыйырма
жыйырпабир жыйырмабир
жыйырпатөрт жыйырматөрт
жылдфзча жылдызча
жылдызчп жылдызча
жылдыщ жылдыз
жылзыз жылдыз
жылкв жылкы
жылуц жылуу
жыокы жылкы
жүгөк жүрөк
жүзунчү жүзүнчү
жүзүнчу жүзүнчү
жүкиөө жүктөө
жүктоө жүктөө
жүктөо жүктөө
жүрок жүрөк
жүрөа жүрөк
жөнотүү жөнөтүү
жөнундө жөнүндө
жөнүндо жөнүндө
жөнөтуү жөнөтүү
жөнөтүу жөнөтүү
завож завод
заеаз заказ
закаж заказ
закшы жакшы
замагбап заманбап
заманбаи заманбап
зана жана
заыод завод
звездочкк звездочка
звезжочка звездочка
зебет дебет
зеккөрүү жеккөрүү
зенсоолук денсоолук
зооп жооп
зостор достор
зыйырмабир жыйырмабир
зылуу жылуу
зыягдуу зыяндуу
зыягкеч зыянкеч
зыяндув зыяндуу
зыянкеы зыянкеч
зүкөн дүкөн
зөнүндө жөнүндө
иаксат максат
иалап талап
иамак тамак
иамлекет мамлекет
иамлекеттик мамлекеттик
иаркет маркет
иармак тармак
иастыктоо тастыктоо
иедиа медиа
иекеме мекеме
иектеп мектеп
иекшерүү текшерүү
иерезе терезе
ижарм ижара
ижсра ижара
издоо издөө
издоө издөө
издөо издөө
изщөө издөө
ииллион миллион
иинистрлик министрлик
иинус минус
илии илим
илмм илим
интеинет интернет
интернер интернет
интернетт интернет
иокен токен
иоксонунчу токсонунчу
иолук толук
ирограмма программа
иугалим мугалим
ичинда ичинде
ичирде ичинде
ишенимдуу ишенимдүү
ишенимдуү ишенимдүү
ишенимдүу ишенимдүү
ишенис ишеним
ишентмдүү ишенимдүү
ишепим ишеним
иынчтык тынчтык
иөлөмакы төлөмакы
иөлөө төлөө
кабао кабар
кабинеь кабинет
кабмнет кабинет
каван качан
кагта карта
кайдс кайда
кайрфлуу кайрылуу
кайрылук кайрылуу
кайтарук кайтаруу
кайтмруу кайтаруу
калеан калкан
калес калем
калкар калкан
калыбынакелтируу калыбынакелтирүү
калыбынакелтируү калыбынакелтирүү
калыбынакелтирүу калыбынакелтирүү
калыбынауелтирүү калыбынакелтирүү
калыбынс калыбына
калылына калыбына
камдые камдык
кампания компания
камса касса
камсыздандырук камсыздандыруу
камсыздмндыруу камсыздандыруу
камюык камдык
канжы каржы
кано кант
кантиа кантип
каньип кантип
каоа кара
капиоо каптоо
каптол каптоо
капчыв капчык
капыык капчык
карангы караңгы
караңгя караңгы
кардап кардар
каржя каржы
карзар кардар
карк кара
каркңгы караңгы
карт кант
картв карта
каса касса
кассв касса
катм ката
катоам каттам
катооо каттоо
каттас каттам
каттоь каттоо
кацда кайда
качае качан
кащем калем
каьа ката
каьар кабар
кбдан абдан
квитанцич квитанция
квитенция квитанция
квто авто
квторизация авторизация
кдам адам
кесин кесип
кесээ кечээ
кечип кесип
кечиресих кечиресиз
кечитесиз кечиресиз
кечэх кечээ
кидео видео
кииүү кирүү
кийир кийин
кинт кино
киргизуу киргизүү
киргизуү киргизүү
киргизүу киргизүү
киргрзүү киргизүү
кирешп киреше
кирнше киреше
киро кино
кируу кирүү
кируү кирүү
кирүу кирүү
китеа китеп
кифин кийин
кичинн кичине
кичмне кичине
киьеп китеп
кккаунт аккаунт
ккуктук укуктук
клас класс
клигика клиника
клиено клиент
клиникв клиника
клипнт клиент
клтыжүз алтыжүз
коз көз
козомол көзөмөл
козомолдоо көзөмөлдөө
козөмөл көзөмөл
козөмөлдөө көзөмөлдөө
кок көк
кол көл
колдонмр колдонмо
колдонуучц колдонуучу
колдопуучу колдонуучу
колдот колдоо
колдшнмо колдонмо
колектив коллектив
колщоо колдоо
команде команда
комерция коммерция
комисия комиссия
коммнда команда
комок көмөк
компаниы компания
компбютер компьютер
компмния компания
компьютеп компьютер
комөк көмөк
конгрес конгресс
консолб консоль
конул көңүл
кончоль консоль
коомсулук коомчулук
коомчулуа коомчулук
коонсуз коопсуз
коопсвздук коопсуздук
коопсуж коопсуз
коопсуздув коопсуздук
кооуу кошуу
коп көп
коргол коргоо
корголгое корголгон
коргтлгон корголгон
корзинк корзина
корккнуч коркунуч
коркугучтуу коркунучтуу
коркунучтув коркунучтуу
коркунуы коркунуч
корноо коргоо
корпооация корпорация
корпорациы корпорация
коруу көрүү
корхина корзина
корүү көрүү
котлруу которуу
которуц которуу
кофэ кофе
кочо көчө
кочө көчө
кошуц кошуу
коңүл көңүл
кредио кредит
крещит кредит
криито крипто
криптш крипто
ксман асман
кстынкысызык астынкысызык
кубар кубат
куболук күбөлүк
кубөлүк күбөлүк
кугал курал
куеон купон
куз күз
кулау кулак
кун күн
куос курс
купог купон
курао курал
курдалган уурдалган
курон күрөң
курч курс
курөң күрөң
кутентификация аутентификация
кутткктоо куттуктоо
куттуктоь куттуктоо
куу күү
куч күч
кучтуу күчтүү
кучтүү күчтүү
кущак кулак
куюат кубат
куү күү
кшул ушул
кыдыл кызыл
кызмаи кызмат
кызматт кызмат
кызпат кызмат
кызыш кызыл
кыйгассызык кыйгачсызык
кыйгачсызыа кыйгачсызык
кыймчлсыз кыймылсыз
кыймылсых кыймылсыз
кымка кыска
кынк кырк
кыргыдстан кыргызстан
кыргызстае кыргызстан
кыргызстн кыргызстан
кыргысстан кыргызстан
кыргыстан кыргызстан
кыргыщ кыргыз
кыре кырк
кыркфнчы кыркынчы
кыркынчв кыркынчы
кыррыз кыргыз
кыскк кыска
кычл кыял
кыяд кыял
кэшбек кэшбэк
кэшбэе кэшбэк
кэшьэк кэшбэк
күболүк күбөлүк
күбөлук күбөлүк
күбөлүе күбөлүк
күпөң күрөң
күроң күрөң
күрөн күрөң
күу күү
күчтуү күчтүү
күчтүу күчтүү
күчьүү күчтүү
көзомөл көзөмөл
көзомөлдөө көзөмөлдөө
көзөмол көзөмөл
көзөмолдөө көзөмөлдөө
көзөмөд көзөмөл
көзөмөлдоө көзөмөлдөө
көзөмөлдөо көзөмөлдөө
көмок көмөк
көмөу көмөк
көнүл көңүл
көпүү көрүү
көпөк көмөк
көруү көрүү
көрүу көрүү
көчо көчө
көяө көчө
көңул көңүл
көңүш көңүл
лажы бажы
лайге байге
лапшаң шапшаң
лардык бардык
ларыкана дарыкана
лешжүз бешжүз
лешинчи бешинчи
лилдирүү билдирүү
лишкек бишкек
ллокчейн блокчейн
лнбешинчи онбешинчи
лнсегизинчи онсегизинчи
лнүч онүч
лнүчүнчү онүчүнчү
логип логин
логын логин
лооин логин
лорбор борбор
лотереф лотерея
лотнрея лотерея
лшол ошол
лөлмө бөлмө
маалумат маалымат
маалымар маалымат
маданияи маданият
мадапият маданият
маймвлча маймылча
маймылчк маймылча
майнинн майнинг
майпинг майнинг
макват максат
максао максат
мактоо сактоо
малык салык
мамкызмаи мамкызмат
мамкязмат мамкызмат
мамлеаеттик мамлекеттик
мамлекео мамлекет
мамлекеттив мамлекеттик
мамлпкет мамлекет
марает маркет
маркео маркет
маспорт паспорт
матуу сатуу
меген менен
мегю меню
медис медиа
медиуина медицина
медицинм медицина
мееин менин
мезим сезим
мейманканк мейманкана
меймапкана мейманкана
мекема мекеме
мекпме мекеме
мекреп мектеп
мектер мектеп
менб меню
менер менен
мениг менин
мервер сервер
мессегджер мессенджер
мессенджет мессенджер
метал металл
мещиа медиа
мибь миль
миздин сиздин
милб миль
милбион миллион
милиард миллиард
милион миллион
миллиагдынчы миллиардынчы
миллиардынчф миллиардынчы
миллиарщ миллиард
миллионунчк миллионунчу
миллиоп миллион
миллиьнунчу миллионунчу
миллрард миллиард
мимал мисал
мин миң
мининчи миңинчи
минисррлик министрлик
министрлив министрлик
минуа минус
мирус минус
мисаб мисал
миңинчт миңинчи
миңмнчи миңинчи
мкысыз акысыз
млсыз алсыз
млэш слэш
мнтернет интернет
мобилдиа мобилдик
мобищдик мобилдик
могуш согуш
моната монета
монетм монета
мооор мотор
мотоп мотор
мофт софт
моциалдык социалдык
мрзандатуу арзандатуу
мркылуу аркылуу
мртка артка
мтарт старт
мугалип мугалим
мугмлим мугалим
музец музей
музчка музыка
музыке музыка
мулк мүлк
мумкунчулук мүмкүнчүлүк
мумкүнчүлүк мүмкүнчүлүк
муруг мурун
мутун мурун
муук суук
мухей музей
мучолук мүчөлүк
мучөлүк мүчөлүк
мшенимдүү ишенимдүү
мывты мыкты
мыйзаи мыйзам
мыйзамсыщ мыйзамсыз
мыйземсыз мыйзамсыз
мыйлык сыйлык
мыйщам мыйзам
мыктц мыкты
мырсөз сырсөз
мышыа мышык
мыщык мышык
мыяктуу сыяктуу
мүла мүлк
мүмкунчүлүк мүмкүнчүлүк
мүмкүечүлүк мүмкүнчүлүк
мүмкүнчулүк мүмкүнчүлүк
мүмкүнчүлук мүмкүнчүлүк
мүмкүнчүлүе мүмкүнчүлүк
мүчолүк мүчөлүк
мүчөлук мүчөлүк
мүчөлүе мүчөлүк
мүьк мүлк
наата накта
надио радио
нактс накта
намыя насыя
нана гана
насмий расмий
насыы насыя
натфйжа натыйжа
натыйжп натыйжа
негизгт негизги
негмзги негизги
никир пикир
нлюс плюс
нол нөл
нолт ноль
нолунчу нөлүнчү
нолүнчү нөлүнчү
нощь ноль
нроцент процент
нөлунчү нөлүнчү
нөлүнчу нөлүнчү
оамал шамал
оахмат рахмат
оектүү шектүү
оехника техника
оилтеме шилтеме
оире тире
ойнотуц ойнотуу
ойнттуу ойнотуу
окмот өкмөт
окмөт өкмөт
окукчу окуучу
окуучв окуучу
окуц окуу
окыу окуу
олум өлүм
олүм өлүм
оналоынчы оналтынчы
оналтв оналты
оналтынчч оналтынчы
онаоты оналты
онбелинчи онбешинчи
онбео онбеш
онбешинчр онбешинчи
онбииинчи онбиринчи
онбин онбир
онбиринчп онбиринчи
онжетинчп онжетинчи
онжетп онжети
онжеьинчи онжетинчи
онжнти онжети
онлайр онлайн
онлеш онбеш
онлпйн онлайн
оной оңой
онор өнөр
онсегизинчт онсегизинчи
онсегих онсегиз
онсегмзинчи онсегизинчи
онскгиз онсегиз
онтогуж онтогуз
онтогузунчц онтогузунчу
онтогызунчу онтогузунчу
онторт онтөрт
онтортунчу онтөртүнчү
онтортүнчү онтөртүнчү
онттгуз онтогуз
онтөроүнчү онтөртүнчү
онтөрр онтөрт
онтөртунчү онтөртүнчү
онтөртүнчу онтөртүнчү
онунчы онунчу
онурчу онунчу
онуч онүч
онучунчу онүчүнчү
онучүнчү онүчүнчү
онъки онэки
онэкинчм онэкинчи
онэкм онэки
онэкрнчи онэкинчи
онюир онбир
онүв онүч
онүчунчү онүчүнчү
онүчүнчу онүчүнчү
онөр өнөр
ообе ооба
оогузунчу тогузунчу
оола ооба
оорклуу оорулуу
оорувана оорукана
ооруканв оорукана
оорулув оорулуу
оранспорт транспорт
оркундотуу өркүндөтүү
оркүндөтүү өркүндөтүү
орнотуы орнотуу
орньтуу орнотуу
отузкнчу отузунчу
отузунчв отузунчу
отущ отуз
отыз отуз
оууралоо тууралоо
ошгл ошол
ошоь ошол
оюечу оюнчу
оюндао оюндар
оюнлар оюндар
оюнчк оюнчу
оңлй оңой
оңоц оңой
оүпнуска түпнуска
оөлөм төлөм
оөртүнчү төртүнчү
пайдалануучв пайдалануучу
пайдалпнуучу пайдалануучу
пайыщ пайыз
панело панель
паннль панель
парлль пароль
парол пароль
паролл пароль
пароло пароль
пасиорт паспорт
паспорь паспорт
паты патч
пафыз пайыз
паьч патч
пегизги негизги
пенин менин
пжара ижара
пиаир пикир
пикио пикир
пиллионунчу миллионунчу
пиль миль
пиңинчи миңинчи
пкча акча
плаг план
плар алар
плбс плюс
плкн план
плтымышынчы алтымышынчы
плюа плюс
повта почта
полиа полис
пороал портал
портаб портал
посылкм посылка
посялка посылка
почтк почта
почто почта
пошис полис
ппта апта
пргмо промо
премиуи премиум
пресиум премиум
проггамма программа
програма программа
программв программа
пройент процент
пройиль профиль
промт промо
професор профессор
профило профиль
процень процент
процес процесс
прхив архив
пузыка музыка
пурун мурун
пшеним ишеним
пыйзам мыйзам
пүмкүнчүлүк мүмкүнчүлүк
пүчөлүк мүчөлүк
пөлүнчү нөлүнчү
рабио радио
радиь радио
ралерея галерея
рариф тариф
рарых тарых
расмиц расмий
распий расмий
рахмаь рахмат
рахсат рахмат
рейтино рейтинг
рейьинг рейтинг
рекшерилген текшерилген
релефон телефон
рестораг ресторан
рестрран ресторан
ркуу окуу
рлан план
рлим илим
рнбир онбир
рнжетинчи онжетинчи
рнлайн онлайн
рнтөрт онтөрт
рнтөртүнчү онтөртүнчү
рнэкинчи онэкинчи
роксон токсон
ролис полис
роль ноль
рремиум премиум
рромо промо
рңой оңой
рүйүн түйүн
саалымат маалымат
сааь саат
сабаа сабак
сагы сары
садам салам
сайр сайт
сайыт сайт
сакроо сактоо
сактагыя сактагыч
сактегыч сактагыч
сактот сактоо
салаа салам
салвын салкын
салкые салкын
салыв салык
самт саат
сапаотуу сапаттуу
сапаттуц сапаттуу
саруу сатуу
сарф сары
сатуы сатуу
сатыпалуучв сатыпалуучу
сатыпалуц сатыпалуу
сатыпслуучу сатыпалуучу
сатыралуу сатыпалуу
сафт сайт
сашык салык
саюак сабак
саяеат саякат
саякар саякат
сдмин админ
сеанв сеанс
себеи себет
себен себеп
сегиж сегиз
сегизжуз сегизжүз
сегизжүж сегизжүз
сегизинчп сегизинчи
сегин сенин
сегихжүз сегизжүз
сегихинчи сегизинчи
седет себет
седицина медицина
сежим сезим
сезип сезим
сексег сексен
сексееинчи сексенинчи
сексенинчт сексенинчи
секчен сексен
сенен менен
сенир сенин
сеню меню
сепнс сеанс
сервеи сервер
серуер сервер
сесия сессия
сессенджер мессенджер
сешиз сегиз
сеьеп себеп
сиздип сиздин
сизюин сиздин
силлиардынчы миллиардынчы
синди сиңди
сирус вирус
сисал мисал
сиңдп сиңди
сйыл айыл
слардын алардын
слдамчылык алдамчылык
слтымыш алтымыш
слтынчы алтынчы
слъш слэш
слэо слэш
снын анын
собакк собака
собилдик мобилдик
собпка собака
согун сонун
согуо согуш
соз сөз
сонур сонун
сооуш согуш
софо софт
социалдыв социалдык
социвлдык социалдык
соят софт
спаа спам
сппм спам
старо старт
стврт старт
стним стрим
стрии стрим
сувк суук
сугоо суроо
сугуш сунуш
сузей музей
суйлошуу сүйлөшүү
суйлөшүү сүйлөшүү
суйуу сүйүү
суйүү сүйүү
сунул сунуш
сурор суроо
сурот сүрөт
сурөт сүрөт
сут сүт
суув суук
сызцкча сызыкча
сызыкчс сызыкча
сыйлыв сыйлык
сыйоык сыйлык
сырвөз сырсөз
сырсоз сырсөз
сырсөд сырсөз
сыртунда сыртында
сыртындв сыртында
сышык мышык
сыяатуу сыяктуу
сыяктуы сыяктуу
сүйлошүү сүйлөшүү
сүйлөшуү сүйлөшүү
сүйлөшүу сүйлөшүү
сүйуү сүйүү
сүйүу сүйүү
сүлк мүлк
сүпөт сүрөт
сүрот сүрөт
сүрөь сүрөт
сүцүү сүйүү
таага тамга
табуы табуу
тагиф тариф
таиак тамак
талаа талап
талас талаа
талуу табуу
тамаа тамак
тамгп тамга
тан таң
таоых тарых
тариак тармак
тариы тариф
тармаа тармак
тарыз тарых
тастуктоо тастыктоо
тастыктор тастыктоо
ташаа талаа
тащап талап
теато театр
тевтр театр
тейтинг рейтинг
текшеоилген текшерилген
текшерилгее текшерилген
текшеруу текшерүү
текшеруү текшерүү
текшерүу текшерүү
текшнрүү текшерүү
телафон телефон
телефое телефон
телифон телефон
телофон телефон
терезп терезе
територия территория
тернзе терезе
техеика техника
техникс техника
тздөө издөө
тирн тире
тите тире
тоаой токой
тоба ооба
тогуд тогуз
тогужжүз тогузжүз
тогузжуз тогузжүз
тогузжүд тогузжүз
тогузунчк тогузунчу
тогущунчу тогузунчу
тоеен токен
токаон токсон
токер токен
токоф токой
токсогунчу токсонунчу
токсое токсон
токсонунчв токсонунчу
толом төлөм
толомакы төлөмакы
толоо төлөө
толуа толук
толөм төлөм
толөмакы төлөмакы
толөө төлөө
томон төмөн
томөн төмөн
тоо төө
тооуз тогуз
торт төрт
тортжуз төртжүз
тортжүз төртжүз
тортунчу төртүнчү
тортүнчү төртүнчү
точкс точка
тоыка точка
тоьук толук
тоө төө
транзакциы транзакция
транзмкция транзакция
транспорь транспорт
транчпорт транспорт
трнотуу орнотуу
туз түз
туйун түйүн
туйүн түйүн
тун түн
тупнуска түпнуска
тур түр
тус түс
туташуы туташуу
туткшуу туташуу
тууралол тууралоо
туурвлоо тууралоо
туш түш
тчинде ичинде
тынстык тынчтык
тынчтыа тынчтык
түйун түйүн
түйүе түйүн
түпнускп түпнуска
түпнцска түпнуска
түфүн түйүн
төаөн төмөн
төлом төлөм
төломакы төлөмакы
төлоө төлөө
төлөи төлөм
төлөиакы төлөмакы
төлөмакц төлөмакы
төлөо төлөө
төмон төмөн
төмөп төмөн
төнт төрт
төо төө
төоөм төлөм
төро төрт
төрржүз төртжүз
төртжуз төртжүз
төртжүд төртжүз
төртунчү төртүнчү
төртүнчу төртүнчү
төщөө төлөө
уалкан калкан
уантип кантип
уарта карта
уасса касса
уата ката
убакыь убакыт
убауыт убакыт
увитанция квитанция
уечээ кечээ
узаотуу узартуу
узартуц узартуу
узуе узун
узын узун
уийин кийин
уиреше киреше
уирүү кирүү
уитеп китеп
укуатук укуктук
укуктув укуктук
укуу укук
укык укук
улиника клиника
улуь улут
улцт улут
умут үмүт
умүт үмүт
унак унаа
унпа унаа
уолдонмо колдонмо
уомпьютер компьютер
уоомчулук коомчулук
уоопсуз коопсуз
уорзина корзина
уоркунуч коркунуч
уоркунучтуу коркунучтуу
упаф упай
упвй упай
уткш утуш
утул утуш
уубат кубат
уурал курал
уурдалгап уурдалган
уурдклган уурдалган
ууттуктоо куттуктоо
учжуз үчжүз
учжүз үчжүз
учун үчүн
учунчу үчүнчү
учүн үчүн
учүнчү үчүнчү
ушвл ушул
