# Words habitually confused for each other, one group per line.
abbol abból
kétszínü kétszínű
kívülröl kívülről
kö kő
köjkök kölykök
köjök kölyök
könnyü könnyű
könyebb könnyebb
könyen könnyen
könyű könnyű
kötelezö kötelező
következö következő
közelröl közelről
középsö középső
közöt között
küldöt küldött
külsö külső
különbözö különböző
lany lány
lasan lassan
lassuk lássuk
latja látja
latlak látlak
latni látni
latod látod
latok látok
latom látom
latott látott
latszik látszik
latta látta
lattad láttad
lattam láttam
ldgyen legyen
ldhet lehet
ldnne lenne
ldsz lesz
leaz lesz
lebet lehet
lebne lenne
leendö leendő
legaen legyen
legalabb legalább
legalabbis legalábbis
legkozelebb legközelebb
legy légy
legydn legyen
legyel legyél
lehdt lehet
lehetoseg lehetőség
lehetseges lehetséges
lehetö lehető
lehetöség lehetőség
lenbe lenne
lene lenne
lened lenned
lenem lennem
leni lenni
lenie lennie
lennek lennék
lennel lennél
lenyeg lényeg
lenyügözött lenyűgözött
lenék lennék
lenél lennél
lenének lennének
lenénk lennénk
leszunk leszünk
let lett
letem lettem
letezik létezik
letél lettél
levegö levegő
levo lévő
levö levő
levö lévő
lya ja
lyaly jaj
lyames james
lyapán japán
lyel jel
lyelen jelen
lyelenleg jelenleg
lyelent jelent
lyimmy jimmy
lyobb jobb
lyobban jobban
lyogi jogi
lyohn john
lyones jones
lyut jut
lyutott jutott
lyár jár
lyárt járt
lyártam jártam
lyátszani játszani
lyátszik játszik
lyáték játék
lyézus jézus
lyó jó
lyóképű jóképű
lyól jól
lyöhet jöhet
lyölylyenek jöjjenek
lyölylyön jöjjön
lyön jön
lyönne jönne
lyönnek jönnek
lyönni jönni
lyössz jössz
lyött jött
lyöttek jöttek
lyöttem jöttem
lyöttél jöttél
lyöttünk jöttünk
lyövök jövök
lyövünk jövünk
lyövő jövő
lásam lássam
lásuk lássuk
láta látta
látad láttad
látalak láttalak
látam láttam
látlya látja
látlyuk látjuk
látlyák látják
látot látott
látál láttál
lépcsö lépcső
lévö lévő
lö lő
lödd lődd
löj lőj
löjenek lőjenek
löjön lőjön
lönek lőnek
löni lőni
lött lőtt
lötte lőtte
löttek lőttek
löttem lőttem
lötték lőtték
maba maga
magara magára
mahd majd
malyd majd
malydnem majdnem
mar már
maris máris
marmint mármint
mas más
masik másik
masodik második
mat matt
mdnj menj
mdrt mert
mebj menj
medt mert
meg még
megfelelo megfelelő
megfelelö megfelelő
meggyözö meggyőző
megis mégis
meglepö meglepő
megsem mégsem
megyunk megyünk
mej mely
mejek melyek
mejet melyet
mejik melyik
mejikük melyikük
mejikőtök melyikőtök
melet mellett
melé mellé
mened menned
menek mennek
menem mennem
meni menni
menie mennie
menjunk menjünk
menly menj
menlyek menjek
menlyen menjen
menlyenek menjenek
menlyetek menjetek
menlyünk menjünk
mennunk mennünk
mentö mentő
menyi mennyi
menyire mennyire
menö menő
menünk mennünk
mere merre
merges mérges
mesz mész
mesze messze
miaft miatt
miat miatt
miata miatta
miatad miattad
miatam miattam
mibt mint
mielott mielőtt
mielött mielőtt
mielőt mielőtt
miert miért
mifele miféle
mig míg
mihejt mihelyt
miior mikor
mij mily
mijen milyen
mijenek milyenek
mikir mikor
mikozben miközben
milaen milyen
milió millió
millio millió
milydn milyen
mincen minden
mincig mindig
mindanyian mindannyian
minddn minden
minddnki mindenki
mindenii mindenki
mindjart mindjárt
mindjg mindig
mindketen mindketten
mindkettö mindkettő
mindlyárt mindjárt
minel minél
minfha mintha
mintba mintha
miota mióta
miqtt miatt
mis miss
mist most
miutan miután
miédt miért
mjatt miatt
mjkor mikor
mjlyen milyen
mjnden minden
mjndenki mindenki
mjndig mindig
mjnt mint
mjntha mintha
mjért miért
moat most
mogott mögött
mondot mondott
mosoj mosoly
mosojog mosolyog
mostanaban mostanában
mostantol mostantól
mozgas mozgás
mqga maga
mqjd majd
mukodik működik
mult múlt
mulva múlva
muszaj muszáj
muszály muszáj
másmijen másmilyen
méj mély
méretü méretű
mögöt mögött
mü mű
müanyag műanyag
mühold műhold
müködik működik
müködő működő
müsor műsor
müszak műszak
müszaki műszaki
mütét műtét
mütéti műtéti
mütő műtő
müvek művek
müvel művel
müvelet művelet
müvelt művelt
müvész művész
müvészet művészet
naby nagy
nagaon nagyon
nagyin nagyon
nagyképü nagyképű
nagylelkü nagylelkű
nagylyából nagyjából
nagyszeru nagyszerű
nagyszerü nagyszerű
nala nála
nalad nálad
nalam nálam
nalunk nálunk
napal nappal
ndki neki
negy négy
neha néha
nehany néhány
nehez nehéz
neii neki
nelkul nélkül
nelkül nélkül
nemi némi
nev név
nevetseges nevetséges
nez néz
nibcs nincs
ninds nincs
njncs nincs
no nő
normalis normális
nqgy nagy
nqgyon nagyon
nyavajás nyavalyás
nyilvan nyilván
némejik némelyik
népszerü népszerű
nö nő
nöi női
nönek nőnek
nös nős
nött nőtt
nöttem nőttem
növér nővér
nőszeméj nőszemély
oiyan olyan
oj oly
ojan olyan
ojankor olyankor
ojanok olyanok
ojasmi olyasmi
ojasvalaki olyasvalaki
ojat olyat
ojkor olykor
oke oké
olaan olyan
olyqn olyan
on ön
onan onnan
ont önt
ora óra
oreg öreg
oriasi óriási
ormester őrmester
orokke örökké
orokre örökre
orult őrült
ossze össze
osszes összes
oszinte őszinte
osztáj osztály
ot ott
ot öt
ota óta
othon otthon
otlet ötlet
par pár
pddig pedig
pdrsze persze
pecig pedig
pedjg pedig
peldaul például
penz pénz
peraze persze
persge persze
pezsgö pezsgő
pilanat pillanat
pisztoj pisztoly
problema probléma
profeszor professzor
pujka pulyka
pája pálya
ra rá
rad rád
rajuk rájuk
ralyta rajta
ralytad rajtad
ralytam rajtam
ram rám
rank ránk
reg rég
regel reggel
regeli reggeli
regen régen
regi régi
regota régóta
rejtéj rejtély
rejtéjes rejtélyes
remélhetöleg remélhetőleg
rendezö rendező
rendor rendőr
rendorseg rendőrség
rendör rendőr
rendörseg rendőrség
rendörség rendőrség
repülö repülő
resz rész
rissz rossz
roasz rossz
rogton rögtön
rola róla
rolad rólad
rolam rólam
rosaz rossz
rosszkedvü rosszkedvű
rosz rossz
rályuk rájuk
róia róla
sajat saját
salynos sajnos
salyát saját
scot scott
sdmmi semmi
sdnki senki
sebki senki
segit segít
segitett segített
segitseg segítség
segítet segített
sehmi semmi
sejem selyem
semhi semmi
semmijen semmilyen
senii senki
sgerint szerint
sgerintem szerintem
sgia szia
sgép szép
sgóval szóval
siha soha
sikerult sikerült
soba soha
soför sofőr
sokaig sokáig
soran során
sotet sötét
srac srác
szabáj szabály
szabájtalan szabálytalan
szabájzat szabályzat
szakértö szakértő
szamara számára
szamit számít
szegeny szegény
szelem szellem
szemely személy
szemelyes személyes
szemet szemét
szeméj személy
szeméjes személyes
szeméji személyi
szeméjiség személyiség
szeméjzet személyzet
szenvedéj szenvedély
szenvedéjes szenvedélyes
szep szép
szepen szépen
szerencses szerencsés
szeretem szerettem
szeretet szeretett
szeretö szerető
szerintdm szerintem
szerjntem szerintem
szerzödés szerződés
szet szét
szivesen szívesen
szja szia
szo szó
szokot szokott
szol szól
szomoru szomorú
szornyu szörnyű
szoval szóval
szukseg szükség
szukseges szükséges
színésznö színésznő
színü színű
szóbal szóval
szóvql szóval
szöke szőke
szörnyü szörnyű
szörös szőrös
szük szűk
szükseg szükség
szükseges szükséges
szükös szűkös
születet született
szülö szülő
szüz szűz
sójom sólyom
söt sőt
sötet sötét
sújos súlyos
sürgös sürgős
sürü sűrű
tabornok tábornok
taián talán
talan talán
tanárnö tanárnő
tartot tartott
tavaj tavaly
tavaji tavalyi
tavol távol
tehat tehát
tellyes teljes
tene tenne
tened tenned
tenem tennem
teni tenni
tenyleg tényleg
tenünk tennünk
termeszetesen természetesen
tessek tessék
testver testvér
tesék tessék
tet tett
tete tette
teted tetted
tetem tettem
tetszet tetszett
tettel tettél
tetél tettél
tetü tetű
tied tiéd
tiz tíz
tobb több
tobbe többé
tobbet többet
tobbi többi
tobbiek többiek
tok tök
tokeletes tökéletes
tole tőle
toled tőled
tolem tőlem
tolvaly tolvaj
tortenet történet
tortenik történik
tovabb tovább
tovabbra továbbra
tqlán talán
tul túl
tulajdonképen tulajdonképpen
tulalydonképpen tulajdonképpen
tunik tűnik
tuz tűz
tyü tyű
ténaleg tényleg
tényldg tényleg
többe többé
töfb több
tökeletes tökéletes
töle tőle
töled tőled
tölem tőlem
töletek tőletek
tölük tőlük
tölünk tőlünk
törtenik történik
törödik törődik
tü tű
tünik tűnik
tüz tűz
tüzet tűzet
tüzijáték tűzijáték
tüzoltó tűzoltó
tüzoltóság tűzoltóság
ubye ugye
udv üdv
ufán után
ugae ugye
ugy úgy
ugy ügy
ugyanijen ugyanilyen
ugyanojan ugyanolyan
ugyanojanok ugyanolyanok
ugyhogy úgyhogy
ugyis úgyis
ugynok ügynök
uj új
ujra újra
ur úr
ures üres
uristen úristen
ut út
utan után
utana utána
utoljara utoljára
utollyára utoljára
utolso utolsó
uzlet üzlet
vaby vagy
vagaok vagyok
vagaunk vagyunk
vagyik vagyok
vagyubk vagyunk
valahi valami
valaii valaki
valamejik valamelyik
valamejikük valamelyikük
valamijen valamilyen
valaszt választ
valo való
valoban valóban
valodi valódi
valojaban valójában
valoszinuleg valószínűleg
valoszinüleg valószínűleg
valqki valaki
valqmi valami
valt vált
valyon vajon
valólyában valójában
valószínü valószínű
valószínüleg valószínűleg
valószínütlen valószínűtlen
vanak vannak
vanbak vannak
vannqk vannak
var vár
varos város
vdle vele
vdled veled
vdlem velem
vegen végén
vegig végig
vegre végre
vegul végül
vegül végül
veie vele
veied veled
veiem velem
veldd veled
veldm velem
veluk velük
velunk velünk
veni venni
ver vér
veszelyes veszélyes
veszéj veszély
veszéjes veszélyes
vet vett
vete vette
vetem vettem
vevö vevő
vezeto vezető
vezetö vezető
vilag világ
vilagos világos
vilna volna
vilt volt
viltam voltam
világhírü világhírű
vini vinni
visaza vissza
vissga vissza
visza vissza
viszlat viszlát
viz víz
vjssza vissza
voina volna
voit volt
volba volna
volfam voltam
voltal voltál
voltqm voltam
voros vörös
vqgy vagy
vqgyok vagyok
vqgyunk vagyunk
vqlaki valaki
vqlami valami
vqnnak vannak
végsö végső
végzet végzett
végzödik végződik
véletlenszerü véletlenszerű
völegény vőlegény
zsüri zsűri
zöldfülü zöldfülű
zür zűr
zürzavar zűrzavar
ál áll
álat állat
átkozot átkozott
ébresztö ébresztő
éllyen éljen
élylyel éjjel
élyszaka éjszaka
élö élő
ép épp
épen éppen
érthetö érthető
értékü értékű
öfelsége őfelsége
önfejü önfejű
önzö önző
ör őr
örmester őrmester
örnagy őrnagy
örség őrség
örület őrület
örült őrült
ösi ősi
ösze össze
öszes összes
öszinte őszinte
úly új
úlyra újra
úlyság újság
úrnö úrnő
ür űr
ürhajó űrhajó
ürhajós űrhajós
üz űz
