# Words habitually confused for each other, one group per line.
# Bulgarian: й written as и, final devoicing, unstressed а/ъ, о/у and е/и,
# щ written шт, definite-article -а/-ът, plus kbdbgph adjacency slips.
аайт сайт
девоико девойко
девоиче девойче
деиност дейност
деиствие действие
делу дело
дему демо
деня денят
депу депо
деребеи деребей
детаил детайл
дету дето
джас джаз
джаф джав
джоп джоб
джуб джоб
дива дева
диди деди
диен деен
диес диез
диец деец
дизаин дизайн
дии дий
дииз диез
дилар дилър
дило дело
диля деля
димо демо
дине дене
дини дени
динк денк
диот диод
дипо депо
дира дера
дире дере
дирма фирма
дирт дерт
дисплеи дисплей
дите дете
дито дето
диуд диод
диф див
дица деца
длаж длъж
длап длаб
длъш длъж
днис днес
доаиен доайен
добар добър
добиф добив
довижване довиждане
довот довод
доида дойда
доидат дойдат
доиде дойде
доидел дойдел
доидела дойдела
доидели дойдели
доидело дойдело
доидем дойдем
доидете дойдете
доидех дойдех
доидеха дойдеха
доидеш дойдеш
доидеше дойдеше
доиди дойди
доидох дойдох
доидоха дойдоха
доика дойка
доин доен
докам докъм
докраи докрай
домеин домейн
домоф домов
досек досег
достои достой
дохот доход
дошал дошъл
драж дръж
драив драйв
драивер драйвер
драйф драйв
драк драг
дреиф дрейф
дрозт дрозд
дроп дроб
друб дроб
друк друг
дръш дръж
дуба доба
дубал дубъл
дуен доен
дуза доза
дуил дуел
дуит дует
дулу долу
дулу дуло
дуна дона
дупи дупе
дури дори
дуст дост
духоф духов
душоф душов
дуям доям
дуяч дояч
дъбоф дъбов
дъгоф дъгов
дъжт дъжд
дълк дълг
дълък дълъг
дъну дъно
дъп дъб
дъхаф дъхав
дюим дюйм
дюлеф дюлев
дядоф дядов
дяду дядо
дялоф дялов
еабота работа
евреика еврейка
егеиски егейски
едар едър
едну едно
ежоф ежов
ежув ежов
еклиф еклив
екут екот
елмас елмаз
елоф елов
елув елов
елхоф елхов
емаил емайл
емаилов емайлов
епус епос
ероф еров
ерув еров
ерус ерос
есени есенни
еташ етаж
етют етюд
ехтеш ехтеж
жалад жълъд
жалак жалък
жалеика жалейка
жалт жълт
жалус жалуз
жана жъна
жарак жарък
жатва жътва
жежак жежък
жезал жезъл
желад желъд
желът желъд
жена цена
жену жено
жераф жерав
жига жега
жилаф жилав
жиле желе
жилу жило
жина жена
жино жено
жиня женя
жист жест
житу жито
жиф жив
жлач жлъч
жлеп жлеб
жлиб жлеб
жокеи жокей
жребии жребий
жриц жрец
жълът жълъд
заб зъб
забар зъбар
забат зъбат
забен зъбен
забер зъбер
забец зъбец
забои забой
забоина забойна
забче зъбче
забя зъбя
завиш завиж
завои завой
завот завод
зазна зъзна
заида зайда
заидат зайдат
заиде зайде
заидел зайдел
заидем зайдем
заидех зайдех
заидеш зайдеш
заиди зайди
заидох зайдох
заик заек
заика зайка
заил заел
заим заем
заит зает
заих заех
заици зайци
заичар зайчар
заиче зайче
зал зъл
залак залък
залва зълва
залес залез
залеш залеж
залиф залив
залок залог
замак замък
запат запад
зарати заради
зарна зърна
зарно зърно
зарят заряд
застои застой
зат зад
затуи затуй
захот заход
зашал зашъл
защу защо
званя звъня
здравеи здравей
здраф здрав
зеивам зейвам
зеика зейка
зелеф зелев
зиле зеле
зимас зимъс
зими зиме
зимя земя
зит зид
зитя зетя
злач злъч
злодеи злодей
злоят злояд
змеи змей
змииче змийче
змий змей
знои зной
знуй зной
знуя зноя
зоп зоб
зорак зорък
зоф зов
зрия зрея
зубар зубър
зубя зобя
зува зова
зуна зона
зура зора
зъп зъб
ивин евин
игриф игрив
идва едва
идеики идейки
идил идел
идим идем
идин един
идин иден
идих идех
идиш идеш
идищ идещ
идия идея
идна една
идни едни
идно едно
идул идол
идър едър
иезуит йезуит
иена йена
иерарх йерарх
ижба ежба
ижов ежов
изван извън
извенявай извинявай
извиф извив
извот извод
изда езда
иззат иззад
иззи иззе
изик език
изкас изказ
изклучение изключение
излас излаз
излес излез
изопщо изобщо
изпот изпод
израс израз
изрес изрез
изриф изрив
изрот изрод
изстои изстой
изхот изход
икам екам
икип екип
икна екна
икот екот
илек елек
илен елен
илин елин
илит елит
илов елов
илха елха
илша елша
имидш имидж
имин имен
имир емир
имна емна
имут имот
интерессен интересен
интирнет интернет
иога йога
иод йод
иоден йоден
иодов йодов
ион йон
ионен йонен
иот йот
ипос епос
ирес ерес
иридии иридий
иров еров
ирос ерос
исен есен
искоф исков
итаж етаж
итан етан
итап етап
итер етер
итил етил
итстъпка отстъпка
итюд етюд
иферта оферта
ифир ефир
ихтя ехтя
ищиц ищец
йарта карта
йина йена
йлиент клиент
йодоф йодов
йонтакт контакт
йуга йога
йупувач купувач
кадар кадър
каде къде
кадмии кадмий
кадря къдря
каизер кайзер
каима кайма
каимак каймак
каиман кайман
каинак кайнак
каисия кайсия
какав какъв
какря къкря
каку како
какъф какъв
калаи калай
калап калъп
калаф калъф
калач калъч
калба кълба
калбо кълбо
калбя кълбя
калва кълва
кали кале
калии калий
калка кълка
калн кълн
калне кълне
калня кълня
калции калций
калча кълча
кам към
камак камък
камаш камъш
камбии камбий
канка кънка
капу капо
кар кър
кари каре
карт кърт
кару каро
каря къря
кас къс
касоф касов
катар катър
катот катод
кату като
каубои каубой
кафес кафез
кафи кафе
кафяф кафяв
кахар кахър
кач къч
качи каче
кашаф кашав
каща къща
кедар кедър
кеи кей
кеик кейк
кеиове кейове
кекаф кекав
келяф келяв
кийк кейк
кикс кекс
килт келт
килу кило
кину кино
кипе кепе
кипеш кипеж
китоф китов
киче кече
кишаф кишав
кият кеят
клеи клей
клеимо клеймо
клеимя клеймя
клий клей
клил клел
клит клет
клих клех
клия клея
клун клон
кмит кмет
княс княз
ковак ковък
кози козе
кои кой
коика койка
които който
колаи колай
комаи комай
компютар компютър
конвои конвой
кони коне
копар копър
копои копой
косам косъм
кот код
коти коте
крав кръв
краваи кравай
краг кръг
кража кръжа
краи край
крап краб
краст кръст
крим крем
криф крив
кроика кройка
крус крос
круя кроя
крък кръг
кръф кръв
куби кубе
кубя кобя
кува кова
куга кога
куго кого
кужа кожа
куза коза
кузе козе
кузя козя
кукс кокс
куля коля
куму кому
куне коне
куня коня
купи купе
кура кора
курк корк
курт корт
куря коря
куса коса
кусо косо
куст кост
куся кося
кута кота
куте коте
кутя котя
куфа кофа
кучи кочи
кучи куче
къди къде
къшеи къшей
кюри кюре
кюрт кюрд
лав лъв
лага лъга
лажа лъжа
лаже лъже
лаивам лайвам
лаика лайка
лаинер лайнер
лака лъка
лакеи лакей
лали лале
ласу ласо
лах лъх
лач лъч
лача лъча
лащя лъщя
леиди лейди
леика лейка
лекаря лекарят
лентяи лентяй
лет лед
леф лев
либи либе
лике леке
лику лико
лиле леле
лиля леля
линя леня
липя лепя
лита лета
лите лете
литии литий
литя летя
лиха леха
лицеи лицей
лици лице
лишеи лишей
лища леща
лияр леяр
ложи ложе
лози лозе
лои лой
лоин лоен
лоита лойта
лорт лорд
лоф лов
лувя ловя
луго лого
луен лоен
лужа ложа
луже ложе
луза лоза
лузе лозе
лумя ломя
луно лоно
лурд лорд
луст лост
лут луд
луто лото
луча лоча
лъжи лъже
лъф лъв
ляф ляв
магнии магний
маж мъж
маже мъже
мажо мъжо
маи май
маика майка
маики майки
маико майко
маина майна
маиор майор
маиски майски
маитап майтап
маичин майчин
мака мъка
мар мър
матя мътя
мах мъх
мача мъча
месу месо
мет мед
мик миг
минии миний
миру миро
миту мито
млак млък
млат млад
мои мой
морс морз
морш морж
мрас мраз
муга мога
муда мода
мужа можа
муже може
музеи музей
муля моля
мума мома
муре море
мурж морж
мурз морз
муря моря
муст мост
муто мото
муят моят
мъжу мъжо
мъш мъж
навеи навей
навои навой
нагазин магазин
надои надой
наи най
наилон найлон
наистена наистина
найголям най-голям
найдобър най-добър
найнакрая най-накрая
найновият най-новият
накраи накрай
напои напой
настои настой
нат над
натрии натрий
негу него
недеи недей
неи ней
неиде нейде
неина нейна
неини нейни
неиния нейния
неино нейно
неисе нейсе
немаи немай
неопходим необходим
нерф нерв
нету нето
неудопно неудобно
неун неон
нечии нечий
нещу нещо
ниву ниво
нииде нийде
никои никой
нис низ
ниту нито
ничии ничий
нищу нищо
нобилен мобилен
ноеф ноев
ноф нов
нош нож
нраф нрав
нрежа мрежа
нуга нога
нуев ноев
нузе нозе
нузика музика
нунции нунций
нуся нося
нута нота
някои някой
оазаруване пазаруване
оари пари
оарола парола
обал объл
обичаи обичай
обои обой
обос обоз
обят обяд
оган огън
одар одър
олащане плащане
оловдив пловдив
онлаин онлайн
онуи онуй
ооддръжка поддръжка
оомощ помощ
ооръчка поръчка
оотребител потребител
ооща поща
опан опън
опии опий
оравителство правителство
оратка пратка
ороверка проверка
ософ осов
отбои отбой
откраи открай
отстои отстой
офлаин офлайн
офсаид офсайд
ошаф ошав
падя пъдя
паи пай
пап пъп
парии парий
пати пъти
паш паж
пеизаж пейзаж
пеика пейка
пигмеи пигмей
пиивам пийвам
пиина пийна
пиреи пирей
плаф плав
плаш плаж
плащяне плащане
плебеи плебей
плук плуг
побои побой
повеи повей
познаи познай
покои покой
покраи покрай
порои порой
постои постой
пошта поща
прак праг
прас праз
прат прът
праф прав
прач пръч
предвит предвид
прес през
прет пред
преятно приятно
прибои прибой
прииом прийом
прис приз
приятеля приятелят
проблема проблемът
пробои пробой
пръф пръв
пуика пуйка
пуича пуйча
пуиче пуйче
пуичи пуйчи
пуичия пуйчия
раб ръб
рабя ръбя
радии радий
раж ръж
разбои разбой
развои развой
раи рай
раибер райбер
раие райе
раиове райове
раион район
раиски райски
рака ръка
рамя ръмя
ранк ранг
рас раз
раст ръст
рася ръся
ратаи ратай
ратя рътя
раце ръце
регистрацея регистрация
режисйор режисьор
реид рейд
реидов рейдов
реис рейс
реисов рейсов
рейт рейд
релефон телефон
репеи репей
рет ред
реф рев
ринк ринг
рит рид
риш риж
ромеи ромей
ромп ромб
роп роб
рот род
роф ров
руина руйна
румп румб
рунт рунд
ручеи ручей
руш руж
ръп ръб
ръш ръж
сад съд
саибия сайбия
саит сайт
сайта сайтът
санък данък
саня съня
сар сър
сараи сарай
сарп сърп
сарф сърф
сас със
сащ същ
саюз съюз
свеш свеж
свои свой
свот свод
сдрес адрес
сеим сейм
сеиф сейф
сипеи сипей
сиф сив
скап скъп
скоф сков
славеи славей
слап слаб
слес слез
слет след
слус слуз
случаи случай
сняк сняг
соеф соев
сои сой
соика сойка
сокаи сокай
сомейн домейн
составка доставка
спат спад
спеики спейки
споика спойка
сполаи сполай
спорет според
спреи спрей
срет сред
сриф срив
стадии стадий
сташ стаж
стои стой
стоика стойка
стоите стойте
странен странни
стут студ
стяк стяг
съжелявам съжалявам
сържава държава
състои състой
сът съд
същия същият
съюс съюз
тага тъга
тажа тъжа
таига тайга
таина тайна
таифа тайфа
таифун тайфун
тай тъй
тама тъма
тана тъна
таня тъня
тап тъп
тапя тъпя
тарг търг
таст тъст
тач тъч
таче тъче
тачи тъчи
таща тъща
твои твой
теико тейко
теиков тейков
теп теб
тои той
тран трън
трибои трибой
тривога тревога
триисе трийсе
троика тройка
тролеи тролей
трофеи трофей
трут труд
туи туй
тус туз
тъи тъй
търк търг
търтеи търтей
убая обая
убед обед
убел обел
убем обем
убет обет
убех обех
убзе обзе
убиица убийца
убир обир
убич обич
убля обля
убоз обоз
убой обой
убор обор
убут обут
увот увод
угра игра
уеп уеб
укас указ
улаф улав
улеи улей
улоф улов
умейл имейл
уневерситет университет
упоика упойка
упокои упокой
урет уред
урожаи урожай
урот урод
усои усой
устои устой
утаика утайка
учителя учителят
фаида файда
фаил файл
фаилов файлов
фаитон файтон
фиеф фиев
фии фий
флак флаг
флеита флейта
фоаие фоайе
фонт фонд
фреим фрейм
хаб хъб
хаи хай
хаиван хайван
хаивер хайвер
хаиде хайде
хаидук хайдук
хаика хайка
хаилаз хайлаз
хаита хайта
халм хълм
хаш хъш
хвоина хвойна
хеи хей
хелии хелий
хии хий
хлат хлад
хляп хляб
хоикам хойкам
хокеи хокей
хот ход
хъп хъб
царна варна
цезии цезий
ценс ценз
цеф цев
цидео видео
циреи цирей
цход вход
чаи чай
чаика чайка
чаина чайна
чаиник чайник
чеис чеиз
червеи червей
чии чий
чиито чийто
чокои чокой
чрес чрез
чужт чужд
шаиба шайба
шаика шайка
шарш шарж
швет швед
шеикър шейкър
шеина шейна
шеих шейх
шибои шибой
шиика шийка
шлеиф шлейф
шлюс шлюз
шофйор шофьор
шпаик шпайк
шуреи шурей
щаига щайга
щант щанд
щап щаб
щарк щърк
щастее щастие
щраих щрайх
ъчилище училище
юбилеи юбилей
юдеи юдей
юдеика юдейка
язак язък
яице яйце
яичар яйчар
яичен яйчен
яичник яйчник
ялоф ялов
ярак ярък
ярт ярд
яхар яхър
ѝащита защита
ѝдраве здраве
