# Words habitually confused for each other, one group per line.
# Tatar in Cyrillic script (39 letters). pkg/kb ships kbdtat and kbdtt102, both Cyrillic; CLDR tt is Cyrillic. Zamanalif/Latin is deliberately not used here.
аазан казан
вадәр кадәр
вайда кайда
вайчан кайчан
вакансиф вакансия
вакарсия вакансия
вакыо вакыт
валкын салкын
вамилләштерү камилләштерү
ваплау каплау
вараңгылык караңгылык
варык сарык
варьера карьера
вату сату
ввыру авыру
вгач агач
вебек кебек
везнең сезнең
веннар уеннар
вечкенә кечкенә
вигезенче сигезенче
вигус вирус
видел видео
виксән сиксән
вилео видео
винең синең
вируч вирус
витап китап
вйнату уйнату
вкучы укучы
вларның аларның
влга алга
влдау алдау
влтмышынчы алтмышынчы
влты алты
внбер унбер
внсигезенче унсигезенче
внтугыз унтугыз
внынчы унынчы
внөченче унөченче
вобака собака
вомпания компания
вонсоль консоль
ворал корал
ворау сорау
воры соры
вояш кояш
вркада аркада
встысызык астысызык
втраховка страховка
вугыш сугыш
вунакханә кунакханә
вупон купон
вуркынычлы куркынычлы
вэшбэк кэшбэк
вәламәтлек сәламәтлек
вәрзин кәрзин
вәҗә кәҗә
вөйләшү сөйләшү
вөйләү көйләү
вөчсез көчсез
галереы галерея
галкрея галерея
галлерея галерея
гаризв гариза
гаррза гариза
гафө гафу
гаөу гафу
гена генә
генш генә
гепә генә
гесторан ресторан
гигрият шигрият
гомкми гомуми
гомумп гомуми
грам грамм
гульенче нульенче
гшбу ошбу
гыеа гына
гынп гына
гәсем рәсем
гәфрәтләнү нәфрәтләнү
давод завод
дагъва дәгъва
даконсыз законсыз
далл балл
даманча заманча
дану дару
дарес дәрес
дарк дару
дарухана даруханә
даруханш даруханә
даруңанә даруханә
даулат дәүләт
даухезмат дәүхезмәт
дафтар дәфтәр
дафтәр дәфтәр
дашлау башлау
даүләт дәүләт
даүхезмәт дәүхезмәт
дебео дебет
делет дебет
делән белән
дефич дефис
деөис дефис
дингез диңгез
дишенче бишенче
диңгеә диңгез
диңрез диңгез
дозылу бозылу
доиен домен
докуменҗ документ
докусент документ
долыт болыт
домер домен
дореслау дөресләү
доресләү дөресләү
дорын борын
доя дөя
дридик юридик
дурт дүрт
дуртенче дүртенче
дуртйоз дүртйөз
дуртйөз дүртйөз
дуслаи дуслар
дуслыа дуслык
дусшар дуслар
дусәык дуслык
дүнт дүрт
дүро дүрт
дүройөз дүртйөз
дүртенчн дүртенче
дүртйоз дүртйөз
дүртйөә дүртйөз
дүрткнче дүртенче
дәгъвк дәгъва
дәрем дәрес
дәтес дәрес
дәуләт дәүләт
дәухезмәт дәүхезмәт
дәфтар дәфтәр
дәфтән дәфтәр
дәфҗәр дәфтәр
дәңгәр зәңгәр
дәүдәт дәүләт
дәүлат дәүләт
дәүләи дәүләт
дәүхезмат дәүхезмәт
дәүхезмәр дәүхезмәт
дәүхнзмәт дәүхезмәт
дөреаләү дөресләү
дөреслаү дөресләү
дөресләу дөресләү
дөресләх дөресләү
еарау карау
еачар начар
ебый абый
егегме егерме
егераеике егермеике
егериебер егермебер
егермебет егермебер
егермедурт егермедүрт
егермедүрҗ егермедүрт
егермеика егермеике
егерменчн егерменче
егермеоч егермеөч
егермеөя егермеөч
егермк егерме
егермкдүрт егермедүрт
егерпеөч егермеөч
егерсенче егерменче
еино кино
еисәтү кисәтү
елгп елга
елиент клиент
елна елга
еолак колак
еоманда команда
еортал портал
еосылка посылка
ередит кредит
ериз приз
ерипто крипто
ерофиль профиль
естагысызык астагысызык
етна атна
еудио аудио
еулланучы кулланучы
еуркыныч куркыныч
еырыгынчы кырыгынчы
еәрсә нәрсә
еәтиҗә нәтиҗә
еөрән көрән
жавап җавап
жаза җәза
жай җәй
жамгыять җәмгыять
жибару җибәрү
жибәрү җибәрү
жиде җиде
жидейоз җидейөз
жидейөз җидейөз
жиденче җиденче
жил җил
жинел җиңел
жинелу җиңелү
жину җиңү
жир җир
житез җитез
житкеру җиткерү
житкерү җиткерү
житмеш җитмеш
житмешенче җитмешенче
жиңел җиңел
жиңелү җиңелү
жиңү җиңү
жылы җылы
жыр җыр
жәза җәза
жәй җәй
жәмгыять җәмгыять
завоң завод
заеаз заказ
заеон закон
закаң заказ
закерланган хакерланган
закимият хакимият
закоесыз законсыз
законсых законсыз
закор закон
заманчп заманча
замвнча заманча
зангар зәңгәр
запроа запрос
заптос запрос
зарарлу зарарлы
зармрлы зарарлы
заыод завод
заңгәр зәңгәр
звездочкк звездочка
звезңочка звездочка
згъза әгъза
згъзалык әгъзалык
зебет дебет
зезмәт хезмәт
зисапфактура хисапфактура
зкрен әкрен
зыын зыян
зыяе зыян
зәбәр хәбәр
зәбәрләр хәбәрләр
зәнгәр зәңгәр
зәңгар зәңгәр
зәңгәо зәңгәр
зәңнәр зәңгәр
иабиб табиб
иаксат максат
ианыклык таныклык
иаркет маркет
иаслау раслау
иатар татар
иатарстан татарстан
иашина машина
иглаг иглан
иглан игълан
игтибап игтибар
игтибар игътибар
игтрбар игтибар
игшан иглан
игълап игълан
игътибап игътибар
игъттбар игътибар
игъшан игълан
идара идарә
идарл идарә
идкрә идарә
иедиа медиа
иейс рейс
иикшерү тикшерү
ииллион миллион
иилләт милләт
иинус минус
икаәк икмәк
икегче икенче
икейоз икейөз
икейөң икейөз
икенчп икенче
икефөз икейөз
икмак икмәк
икмәв икмәк
илбе илле
илленчп илленче
иллн илле
иллннче илленче
индк инде
инзе инде
интеинет интернет
интернер интернет
интернетт интернет
иняхшы иңяхшы
иокен токен
иоргызу торгызу
ириә иртә
ирограмма программа
ирта иртә
иртага иртәгә
иртагә иртәгә
иртз иртә
иртшгә иртәгә
иртәга иртәгә
иртәгз иртәгә
исам исем
исанмесез исәнмесез
исее иске
исес исем
искп иске
исәнаесез исәнмесез
исәнмесед исәнмесез
иугызынчы тугызынчы
ишее ишек
ишкк ишек
иынычлык тынычлык
иңяхшф иңяхшы
иңяңшы иңяхшы
иүбән түбән
иүләү түләү
иәктәп мәктәп
иәрәзә тәрәзә
иәхмәт рәхмәт
иәче мәче
иөер төер
ймет өмет
йоз йөз
йозенче йөзенче
йоклау йөкләү
йокләү йөкләү
йолдызчс йолдызча
йолдың йолдыз
йолдөзча йолдызча
йолңыз йолдыз
йонт йорт
йорак йөрәк
йоро йорт
йорәк йөрәк
йөзенчн йөзенче
йөзкнче йөзенче
йөклаү йөкләү
йөкләу йөкләү
йөкләэ йөкләү
йөкшәү йөкләү
йөнәк йөрәк
йөрак йөрәк
йөрәв йөрәк
кабинеҗ кабинет
кабмнет кабинет
кагаш караш
кагта карта
кадан казан
кадар кадәр
кадәг кадәр
кадәм каләм
кажа кәҗә
казае казан
казанн казан
кайгар кайнар
кайдс кайда
кайнан кайнар
кайтарв кайтару
кайчаг кайчан
кайяан кайчан
кайҗару кайтару
какансия вакансия
какыт вакыт
калам каләм
калеан калкан
калкар калкан
каләс каләм
камиллаштеру камилләштерү
камиллаштерү камилләштерү
камиллшштерү камилләштерү
камилләштеру камилләштерү
камилләштерэ камилләштерү
кампания компания
камса касса
каоа кара
капау карау
каплак каплау
капшау каплау
караг караш
карангылык караңгылык
караы карау
караңгылые караңгылык
караңнылык караңгылык
карзин кәрзин
карк кара
картв карта
карьерс карьера
каса касса
кассв касса
каюәр кадәр
каҗә кәҗә
каөда кайда
квитанцич квитанция
квитенция квитанция
квто авто
квторизация авторизация
квыл авыл
кгермебер егермебер
кдрес адрес
кебее кебек
кегтү кертү
кеием керем
кеоү керү
кереа керем
кероем кертем
кертес кертем
керту кертү
кертх кертү
керу керү
керх керү
кечкена кечкенә
кечкенз кечкенә
кечуенә кечкенә
кешп кеше
кеҗек кебек
кеәе кеше
кибеи кибет
кивә кичә
кидео видео
кидет кибет
кизәш киңәш
кииап китап
кинаш киңәш
кинт кино
кинәш киңәш
киро кино
кисату кисәтү
кисатү кисәтү
кисдтү кисәтү
кисәту кисәтү
кисәтэ кисәтү
китар китап
кича кичә
кичш кичә
киңаш киңәш
киңәг киңәш
кккаунт аккаунт
клабуга алабуга
клас класс
клигика клиника
клиено клиент
клиникв клиника
клипнт клиент
клтмыш алтмыш
кнбиш унбиш
кндүрт ундүрт
кнҗиденче унҗиденче
коз көз
кой көй
койлау көйләү
койләү көйләү
колав колак
колектив коллектив
команде команда
комерция коммерция
комисия комиссия
коммнда команда
компаниы компания
компмния компания
компьютеп компьютер
кон көн
конгрес конгресс
контооль контроль
кончоль консоль
кооак колак
копал корал
корад корал
коран көрән
корпооация корпорация
корпорациы корпорация
корән көрән
котдау котлау
котлав котлау
кофэ кофе
коч көч
кочле көчле
кочсез көчсез
кочш кояш
кояә кояш
кредио кредит
кренда аренда
креәит кредит
криито крипто
криптш крипто
ктызынчы утызынчы
куат куәт
куеон купон
куз күз
кузату күзәтү
кузт куәт
кузәтү күзәтү
кук күк
кул күл
кулланучя кулланучы
куллкнучы кулланучы
кунакхана кунакханә
кунакханз кунакханә
кунауханә кунакханә
кунел күңел
куос курс
куп күп
купог купон
куркчныч куркыныч
куркыгычсыз куркынычсыз
куркыеычлы куркынычлы
куркыныв куркыныч
куркыныссызлык куркынычсызлык
куркынычля куркынычлы
куркынычсызлыа куркынычсызлык
куркынычсың куркынычсыз
курч курс
кутентификация аутентификация
кучемсез күчемсез
кучерма күчермә
кучермә күчермә
кучеру күчерү
кучерү күчерү
кушв кушу
кушвмта кушымта
кушымтк кушымта
куңел күңел
куәр куәт
куәу кушу
кхыр ахыр
кшыгыч ашыгыч
кыдыл кызыл
кыекмызык кыексызык
кыексызыа кыексызык
кызыш кызыл
кыиык кырык
кымка кыска
кырыгынчв кырыгынчы
кырыоынчы кырыгынчы
кырыу кырык
кыскк кыска
кэшбек кэшбэк
кэшбэе кэшбэк
кэшҗэк кэшбэк
күзатү күзәтү
күзлтү күзәтү
күзәту күзәтү
күзәтх күзәтү
күнел күңел
күхел күңел
күчармә күчермә
күчемсеә күчемсез
күчепсез күчемсез
күчерма күчермә
күчермш күчермә
күчеру күчерү
күчерх күчерү
күчнрү күчерү
күңеш күңел
кәжә кәҗә
кәрзиг кәрзин
кәрәин кәрзин
кәтә кәҗә
кәҗа кәҗә
кәҗз кәҗә
көвле көчле
көйлаү көйләү
көйләу көйләү
көйләэ көйләү
көйшәү көйләү
көпән көрән
көран көрән
көрәп көрән
көчлк көчле
көчсех көчсез
көччез көчсез
лакин ләкин
лашлангыч башлангыч
лгза әгза
лезнең безнең
лелем белем
лзайту озайту
лигърият шигърият
ликле шикле
литкерү җиткерү
лишйөз бишйөз
ллокчейн блокчейн
логип логин
логын логин
лооин логин
лотереф лотерея
лотнрея лотерея
лояльлев лояльлек
лроньлау броньлау
лүлек бүлек
лүләк бүләк
ләгъва дәгъва
ләза җәза
ләкиг ләкин
ләмгыять җәмгыять
ләуин ләкин
ләфтәр дәфтәр
ләхетле бәхетле
ләүләт дәүләт
маглумат мәглүмат
маглүмат мәглүмат
магна мәгнә
магнә мәгнә
магълумат мәгълүмат
магълүмат мәгълүмат
магъна мәгънә
магънә мәгънә
маданият мәдәният
мадәният мәдәният
маймыд маймыл
майнинн майнинг
майпинг майнинг
майсыл маймыл
макват максат
маклау саклау
максао максат
мактап мәктәп
мактәп мәктәп
марает маркет
маркео маркет
маспорт паспорт
матбугаҗ матбугат
матбөгат матбугат
матыпалучы сатыпалучы
махаббат мәхәббәт
махәббәт мәхәббәт
маче мәче
машине машина
машпна машина
мвыз авыз
мгътибар игътибар
мегю меню
медис медиа
медицинм медицина
мен мең
менб меню
мененче меңенче
мервер сервер
мерсүз серсүз
мессегджер мессенджер
мессенджет мессенджер
метал металл
меңанче меңенче
меңел сеңел
меңенчк меңенче
меәиа медиа
мибь миль
мигезйөз сигезйөз
мидек милек
милбион миллион
милеу милек
милиард миллиард
милион миллион
миллат милләт
миллиагдынчы миллиардынчы
миллиардынчф миллиардынчы
миллиарә миллиард
миллигнынчы миллионынчы
миллионынчя миллионынчы
миллиоп миллион
миллрард миллиард
милләо милләт
милшәт милләт
мимал мисал
минес минем
министрлыа министрлык
минисҗрлык министрлык
минуа минус
мипем минем
мирус минус
мисаб мисал
мкейөз икейөз
мкенче икенче
млдантүләү алдантүләү
млленче илленче
млучы алучы
млэш слэш
мнтернет интернет
мобрль мобиль
мооор мотор
моражагать мөрәҗәгать
морәҗәгать мөрәҗәгать
мотоп мотор
мофт софт
мртка артка
мске иске
мтарт старт
музеө музей
музчка музыка
музыке музыка
мухей музей
мшамлык ашамлык
мыер сыер
мыйфатлы сыйфатлы
мылтама сылтама
мәглумат мәглүмат
мәглэмат мәглүмат
мәглүмар мәглүмат
мәглүмат мәгълүмат
мәгна мәгнә
мәгнш мәгнә
мәгнә мәгънә
мәгъдүмат мәгълүмат
мәгълумат мәгълүмат
мәгълүмаи мәгълүмат
мәгъна мәгънә
мәгънд мәгънә
мәданият мәдәният
мәдәгият мәдәният
мәдәнияр мәдәният
мәкрәп мәктәп
мәктап мәктәп
мәктән мәктәп
мәрнә мәгнә
мәхаббәт мәхәббәт
мәхәббат мәхәббәт
мәхәббәр мәхәббәт
мәхәюбәт мәхәббәт
мәча мәче
мәые мәче
мәяхәт сәяхәт
мөраҗәгать мөрәҗәгать
мөрәжәгать мөрәҗәгать
мөрәҗагать мөрәҗәгать
мөрәҗшгать мөрәҗәгать
надио радио
нарса нәрсә
нарсә нәрсә
насар начар
натижа нәтиҗә
натиҗә нәтиҗә
нафратлану нәфрәтләнү
нафрәтләнү нәфрәтләнү
начан начар
нгермеике егермеике
ничее ничек
нияек ничек
нлюс плюс
нокте нокта
номуми гомуми
ноута нокта
ношлина пошлина
ноәь ноль
нроцент процент
нубь нуль
нульенча нульенче
нульпнче нульенче
нәисә нәрсә
нәрса нәрсә
нәрсд нәрсә
нәсми рәсми
нәтижә нәтиҗә
нәтиҗа нәтиҗә
нәтиҗд нәтиҗә
нәттҗә нәтиҗә
нәфратләнү нәфрәтләнү
нәфрәрләнү нәфрәтләнү
нәфрәтланү нәфрәтләнү
нәфрәтләну нәфрәтләнү
нәфрәтләнэ нәфрәтләнү
оавыш тавыш
оариза гариза
оарих тарих
оафу гафу
оегма оешма
оенә генә
оехника техника
оешме оешма
озайтк озайту
озаөту озайту
озфн озын
озып озын
оикәр шикәр
оире тире
оитмеш җитмеш
оиңел җиңел
омет өмет
онлайр онлайн
онлпйн онлайн
оойгы тойгы
оормыш тормыш
оранспорт транспорт
оригинаә оригинал
оригпнал оригинал
оугызйөз тугызйөз
оуксанынчы туксанынчы
оулы тулы
очен өчен
оченче өченче
очйоз өчйөз
очйөз өчйөз
ошбө ошбу
ошду ошбу
оәкъдим тәкъдим
паймыл маймыл
пайыә пайыз
паннль панель
парлль пароль
парол пароль
паролл пароль
пасиорт паспорт
паспорҗ паспорт
патбугат матбугат
паты патч
пафыз пайыз
паҗч патч
пвыр авыр
пгерме егерме
пгермеөч егермеөч
пгтибар игтибар
пиллионынчы миллионынчы
пиль миль
пичек ничек
пкча акча
плаг план
плар алар
плбс плюс
плкн план
плюа плюс
пнде инде
повта почта
покта нокта
полиа полис
пороал портал
портаб портал
посылкм посылка
посялка посылка
почтк почта
пошис полис
пошлинп пошлина
пошоина пошлина
пргмо промо
премиуи премиум
пресиум премиум
приә приз
проггамма программа
програма программа
программв программа
пройиль профиль
промт промо
професор профессор
проценҗ процент
процес процесс
пррз приз
прхив архив
псем исем
пузыка музыка
пуль нуль
пңяхшы иңяхшы
пөрәҗәгать мөрәҗәгать
пөхсәт рөхсәт
рабио радио
рабу табу
радиҗ радио
ралерея галерея
раможня таможня
рариф тариф
расбау раслау
расем рәсем
раслак раслау
расми рәсми
расмилаштеру рәсмиләштерү
расмиләштерү рәсмиләштерү
рахмат рәхмәт
рахмәт рәхмәт
рглан иглан
рейм рейс
рейтино рейтинг
рейҗинг рейтинг
релефон телефон
рестораг ресторан
рестрран ресторан
реөс рейс
рикшерелгән тикшерелгән
рлан план
рлле илле
рнлайн онлайн
ролис полис
роль ноль
рохсат рөхсәт
рохсәт рөхсәт
рремиум премиум
рромо промо
рртә иртә
рртәгә иртәгә
ругыз тугыз
ршек ишек
рына гына
рүләмә түләмә
рәами рәсми
рәсеи рәсем
рәсмилаштерү рәсмиләштерү
рәсмилзштерү рәсмиләштерү
рәсмиләштеру рәсмиләштерү
рәсмиләштерх рәсмиләштерү
рәсмм рәсми
рәхаәт рәхмәт
рәхмат рәхмәт
рәхмәо рәхмәт
рәчем рәсем
рөркем төркем
рөхаәт рөхсәт
рөхсат рөхсәт
рөхсәи рөхсәт
сабап сәбәп
сабым салым
сабәп сәбәп
сагать сәгать
сагы сары
сайр сайт
сайыт сайт
сакбау саклау
сакбык саклык
саклагыс саклагыч
саклангаг сакланган
саклаы саклау
саклкнган сакланган
саклмгыч саклагыч
саклые саклык
саламатлек сәламәтлек
саламәтлек сәламәтлек
салвын салкын
салкые салкын
салыи салым
сангать сәнгать
саоу сату
саоык сарык
сарф сары
сарыу сарык
сатыеалу сатыпалу
сатыпалк сатыпалу
сатыпалучв сатыпалучы
сатыпвлучы сатыпалучы
сатө сату
сафт сайт
саяхат сәяхәт
саяхәт сәяхәт
сдмин админ
сеанв сеанс
седицина медицина
сезнен сезнең
сезнеэ сезнең
сезпең сезнең
сенел сеңел
сеню меню
сепнс сеанс
сервеи сервер
сервүз серсүз
серсуз серсүз
серсүд серсүз
серуер сервер
сесия сессия
сессенджер мессенджер
сехел сеңел
сеңед сеңел
сиггал сигнал
сигеденче сигезенче
сигезенчк сигезенче
сигезйоз сигезйөз
сигезйөд сигезйөз
сигең сигез
сигеңйөз сигезйөз
сигнао сигнал
сикаән сиксән
сиксан сиксән
сиксаненче сиксәненче
сиксәгенче сиксәненче
сиксәе сиксән
сиксәненчп сиксәненче
силлиардынчы миллиардынчы
синед синең
синен синең
синистрлык министрлык
сипең синең
сирус вирус
сисал мисал
сишез сигез
слтыйөз алтыйөз
слтынчы алтынчы
слэо слэш
слүш слэш
сның аның
собакк собака
собпка собака
созгы соңгы
соиау сорау
сойлашу сөйләшү
сойләшү сөйләшү
сон соң
сонгы соңгы
сооы соры
сораө сорау
сорө соры
сот сөт
софо софт
соцталь социаль
соят софт
соңгф соңгы
спаа спам
сппм спам
старо старт
стврт старт
стним стрим
страховкм страховка
страңовка страховка
стрии стрим
сугыг сугыш
суз сүз
сузей музей
сунәт сурәт
сурат сурәт
сурыш сугыш
сурәҗ сурәт
сыег сыер
сызыа сызык
сыйфатлв сыйфатлы
сыйфвтлы сыйфатлы
сылрама сылтама
сылтамп сылтама
сыпр сыер
сыхык сызык
сәбап сәбәп
сәбәм сәбәп
сәгкть сәгать
сәглүмат мәглүмат
сәгънә мәгънә
сәдәният мәдәният
сәламатлек сәламәтлек
сәламлтлек сәламәтлек
сәламәтлеу сәламәтлек
сәншать сәнгать
сәхәббәт мәхәббәт
сәяхат сәяхәт
сәяхәо сәяхәт
сәяэәт сәяхәт
сәҗәп сәбәп
сөйдәшү сөйләшү
сөйлашү сөйләшү
сөйләшу сөйләшү
сөйләшх сөйләшү
табил табиб
табө табу
тавап җавап
тавыә тавыш
тагиф тариф
тагып тагын
таду табу
такдим тәкдим
такъдим тәкъдим
таможнф таможня
тамтжня таможня
тан таң
тан тән
танка тәңкә
таныелык таныклык
таныклыа таныклык
таоын тагын
тапих тарих
тараза тәрәзә
тариы тариф
тариү тарих
тарәзә тәрәзә
татагстан татарстан
татан татар
татарстанн татарстан
татарстар татарстан
татарстн татарстан
тауыш тавыш
ташбама ташлама
ташламе ташлама
таюиб табиб
таҗар татар
таңкә тәңкә
тгълан игълан
тдарә идарә
теато театр
тевтр театр
тейтинг рейтинг
телафон телефон
телефое телефон
телифон телефон
телофон телефон
тераәү теркәү
територия территория
теркау теркәү
теркаү теркәү
теркәу теркәү
теркәэ теркәү
техеика техника
техникс техника
тешма оешма
тибәрү җибәрү
тиде җиде
тикшеиелгән тикшерелгән
тикшерелган тикшерелгән
тикшерелгәе тикшерелгән
тикшеру тикшерү
тикшерх тикшерү
тикәерү тикшерү
тирн тире
тите тире
титмешенче җитмешенче
ткмәк икмәк
тоеен токен
тоер төер
тойгя тойгы
токер токен
тон төн
топ төп
тор төр
торгызв торгызу
торкем төркем
тормыә тормыш
торсыш тормыш
торшызу торгызу
тос төс
тоташы тоташу
тотмшу тоташу
точкс точка
тош төш
тоыка точка
тоөгы тойгы
транзакциы транзакция
транзмкция транзакция
транспорҗ транспорт
транчпорт транспорт
тригинал оригинал
тсәнмесез исәнмесез
тубан түбән
тубән түбән
тугызйоз тугызйөз
тугызйөх тугызйөз
тугызынчч тугызынчы
тугыхынчы тугызынчы
тугыә тугыз
тугыәйөз тугызйөз
тукван туксан
туксаеынчы туксанынчы
туксанынчу туксанынчы
туксап туксан
тулам түләм
тулама түләмә
тулау түләү
туля тулы
туләм түләм
туләмә түләмә
туләү түләү
турфдан турыдан
турфнда турында
турыдап турыдан
турыз тугыз
турындп турында
тушы тулы
тылы җылы
тыныслык тынычлык
тынычлыа тынычлык
тышчнда тышында
тышынде тышында
түбан түбән
түбәм түләм
түбәр түбән
түлам түләм
түламә түләмә
түлаү түләү
түллмә түләмә
түләма түләмә
түләмш түләмә
түләп түләм
түләу түләү
түләх түләү
түюән түбән
түәәү түләү
тәзкә тәңкә
тәкдим тәкъдим
тәкдип тәкдим
тәклим тәкдим
тәкъдии тәкъдим
тәнкә тәңкә
тәразә тәрәзә
тәрззә тәрәзә
тәрәза тәрәзә
тәрәзд тәрәзә
тәсир тәэсир
тәсмиләштерү рәсмиләштерү
тәңка тәңкә
тәңкл тәңкә
төен төер
төнр төер
төрвем төркем
төркес төркем
уайнар кайнар
уайтару кайтару
уалкан калкан
уарта карта
уасса касса
увитанция квитанция
уеечы уенчы
уеннан уеннар
уенпар уеннар
уенчв уенчы
уерем керем
уертү кертү
уеше кеше
узак үзәк
узәк үзәк
уйнатө уйнату
уйнпту уйнату
укучф укучы
укыиучы укытучы
укытучу укытучы
укычы укучы
улан үлән
улем үлем
улиника клиника
улән үлән
уналиынчы уналтынчы
уналтф уналты
уналтынчя уналтынчы
унаәты уналты
унбегенче унберенче
унберенчп унберенче
унбет унбер
унбигенче унбишенче
унбио унбиш
унбишенчн унбишенче
ундер унбер
ундурт ундүрт
ундуртенче ундүртенче
ундхрт ундүрт
ундүриенче ундүртенче
ундүро ундүрт
ундүртенчн ундүртенче
унжиде унҗиде
унжиденче унҗиденче
уникенчп уникенче
уникн унике
уникннче уникенче
унлиш унбиш
унмке унике
уноч унөч
уноченче унөченче
унсигазенче унсигезенче
унсигезенчк унсигезенче
унсигең унсигез
унстгез унсигез
унтугвзынчы унтугызынчы
унтугызынчө унтугызынчы
унтугыә унтугыз
унтыгыз унтугыз
унуч унөч
унынчч унынчы
уныпчы унынчы
унҗиденча унҗиденче
унҗидп унҗиде
унҗиәенче унҗиденче
унҗтде унҗиде
унөчанче унөченче
унөченчк унөченче
унөы унөч
уомпьютер компьютер
уонтроль контроль
уотлау котлау
ураи урам
уриан урман
урлаеган урланган
урлангаг урланган
урмар урман
урмм урам
урнаштырв урнаштыру
урнаәтыру урнаштыру
утчз утыз
утызынчя утызынчы
утызөнчы утызынчы
утых утыз
ууркынычсыз куркынычсыз
ууркынычсызлык куркынычсызлык
уушу кушу
ууәт куәт
учйөз өчйөз
уыексызык кыексызык
уыска кыска
уүчерү күчерү
уүңел күңел
файдаланучч файдаланучы
файдаҗанучы файдаланучы
факиура фактура
фактуре фактура
фан фән
фзылу язылу
фикеи фикер
финанм финанс
финвнс финанс
фиуер фикер
фишино фишинг
фиштнг фишинг
фнчык янчык
фолдызча йолдызча
фооо фото
форт йорт
фотр фото
фшаныч ышаныч
фңадан яңадан
фңарту яңарту
фөзенче йөзенче
фөкләү йөкләү
фөрәк йөрәк
хабар хәбәр
хабарлар хәбәрләр
хабәр хәбәр
хабәрләр хәбәрләр
хаиа хата
хаиын хатын
