# Words habitually confused for each other, one group per line.
# Azerbaijani (Latin): ASCII-folded forms, ə/e, ı/i, x/h and q/g confusions,
# final devoicing, plus kbdazel keyboard-adjacency slips.
aayt sayt
deri dəri
derk dərk
ders dərs
derz dərz
des deş
dest dəst
deve dəvə
dexi dəxi
dey dəy
deye dəyə
dide didə
dile dilə
dink ding
dinç dinc
dip dib
dire dirə
dis diş
dise dişə
disi dişi
dit did
dişe dişə
dodax dodaq
dog doğ
dogu doğu
dol döl
dolap dolab
dolax dolaq
doluh dolux
don dön
donuh donux
dord dörd
dos döş
dose döşə
dovr dövr
doy döy
doz döz
doşap doşab
duha düha
dun dün
dunux dunuq
durr dürr
durt dürt
duruh durux
dus duş
dus düş
duvax duvaq
duy düy
duye düyə
duym düym
duyu düyü
duz düz
duzax duzaq
dört dörd
döyəç döyəc
döşe döşə
düxa düha
düye düyə
dəhi dəxi
dəp dəb
dəqix dəqiq
dərt dərd
dəç dəc
eba əba
ecr əcr
eda əda
edl ədl
efi əfi
efv əfv
ehd əhd
ehl əhl
eke əkə
eks əks
ela əla
elaqe əlaqə
elci elçi
ele elə
ele ələ
elet elət
emi əmi
emr əmr
enen enən
eng əng
enis eniş
enme enmə
eqd əqd
eri əri
erk ərk
erkəç erkəc
erp ərp
ers ərş
erte ertə
erz ərz
erş ərş
esa əsa
esik eşik
esil eşil
esit eşit
esl əsl
esme eşmə
esq eşq
esr əsr
etud etüd
etüt etüd
evde evdə
eve evə
evlat evlad
exi əxi
eye əyə
eyip eyib
eyle eylə
eys eyş
eza əza
ezm əzm
eşg eşq
eşme eşmə
eşx eşq
fars farş
fas faş
fasat fasad
feal fəal
feda fəda
fehm fəhm
fena fəna
fend fənd
fenn fənn
ferd fərd
fere fərə
ferq fərq
fers fərş
ferz fərz
ferş fərş
fes fəs
feth fəth
fexr fəxr
feza fəza
fiort fiord
fir fır
firiş giriş
fis fıs
flus flüs
font fond
fovq fövq
fuga fuqa
fövg fövq
fövx fövq
fırıx fırıq
fəhr fəxr
fəncə gəncə
fənt fənd
fərax fəraq
fərg fərq
fərt fərd
fərx fərq
fəsat fəsad
fətx fəth
fəxm fəhm
gab qab
gaba qaba
gac qac
gada qada
gafa qafa
gaga qaqa
gaib qaib
gaim qaim
gal qal
gala qala
gall qall
galx qalx
gan qan
gana qana
gane qane
gapa qapa
gapı qapı
gar qar
gara qara
garp qarp
gart qart
garı qarı
gat qat
gatı qatı
gax gah
gax qax
gay qay
gaya qaya
gayə qayə
gaz qaz
gazi qazi
gazı qazı
gaç qaç
gaş qaş
gaşı qaşı
gebe gəbə
gec gəc
gece gecə
geda gəda
gede gədə
gel gəl
gemi gəmi
genc gənc
gene gənə
ger gər
gerp gerb
gesab hesab
gest gəşt
geyb qeyb
geyd qeyd
geyr qeyr
geyz qeyz
gez gəz
geç gec
geşt gəşt
gida qida
gile gilə
girish giriş
gis giş
gism qism
git gid
gitə qitə
giç gic
gişa qişa
gnu qnu
gobu qobu
goca qoca
gol göl
gol qol
golf qolf
gom göm
gom qom
gon gön
gon qon
gonderme göndərmə
gong qonq
gor gör
gora qora
gore görə
goru qoru
gorx qorx
got göt
got qot
gov qov
goxu qoxu
goy göy
goy qoy
goye göyə
goz göz
goz qoz
goza qoza
goze gözə
gozu gözü
goç qoç
goçu qoçu
goş qoş
goşa qoşa
graf qraf
gram qram
gran qran
grif qrif
gril qril
grim qrim
grip qrip
grup qrup
guaş quaş
guba quba
guc güc
gucu qucu
gud güd
guda quda
gugu ququ
gul gül
gul qul
gulp qulp
gum qum
gun gün
gunesh günəş
gunu günü
gur gür
gurd qurd
gurs qurs
guru quru
gurz gürz
gus qus
guse guşə
gutu qutu
guve güvə
guyu quyu
guzu quzu
guç guc
guş quş
guşe guşə
gökumət hökumət
göre görə
göye göyə
göze gözə
gülap gülab
güt güd
güve güvə
güvəç güvəc
güç güc
gıc qıc
gıf qıf
gıl qıl
gın qın
gır qır
gıs qıs
gıt qıt
gıy qıy
gız qız
gıç qıç
gığ qığ
gış qış
gəlmax gəlmək
gəm qəm
gənç gənc
gət qət
gəç gəc
haca haça
hacə xacə
hagg haqq
hain xain
hak xak
haki xaki
hala xala
hale halə
hali xali
halq xalq
halı xalı
ham xam
hama xama
hami hamı
han xan
hana xana
haos xaos
haqx haqq
har xar
has xas
hata xata
haya xaya
haç xaç
haş xaş
heb həb
hebs həbs
hec heç
hecc həcc
hecm həcm
hecv həcv
hedd hədd
hede hədə
hekk həkk
hele hələ
hell həll
hem həm
her hər
herb hərb
here hərə
herf hərf
hesap hesab
heya həya
heyr xeyr
hezm həzm
hezz həzz
hicap hicab
hir xir
hlor xlor
hof xof
hokm hökm
hon xon
hor hör
hor xor
hora xora
hovl hövl
hoş xoş
hoşu xoşu
hren xren
hrom xrom
hunu hünü
hur hür
hurk hürk
hus huş
husn hüsn
huyux huyuq
huzn hüzn
hökümət hökumət
hüdut hüdud
hüdüt hüdüd
hüqux hüquq
hılt xılt
hına xına
hır xır
hış xış
həbip həbib
həcç həcc
hədt hədd
həfə xəfə
həkə xəkə
həlq xəlq
həp həb
hərc xərc
hərp hərb
həsət həsəd
həta xəta
hətt xətt
həz xəz
iane ianə
iase iaşə
iaşe iaşə
icat icad
icil içil
icim içim
icir içir
icki içki
icme içmə
idis idiş
ifliç iflic
ifsa ifşa
igit igid
ilgi ilğı
ilhax ilhaq
ilhı ilxı
iliq ilıq
ilis iliş
ilme ilmə
ilxi ilxı
ilği ilğı
ilıg ilıq
ilıx ilıq
imek imək
inag inaq
inanç inanc
inat inad
inax inaq
ince incə
inek inək
inle inlə
innap innab
insa inşa
internat internet
ipek ipək
iple iplə
irag iraq
irat irad
irax iraq
irg irq
irga irqa
irgi irqi
iris iriş
irmax irmaq
irx irq
isar işar
isde işdə
ise isə
ise işə
islax islaq
isle işlə
isnat isnad
iste istə
istifadeci istifadəçi
iten itən
itiuç itiuc
itme itmə
ixraç ixrac
iyde iydə
iyle iylə
iyne iynə
iyun oyun
izax izah
izci izçi
izle izlə
içme içmə
işde işdə
işe işə
işiq işıq
işle işlə
işve işvə
işıg işıq
işıx işıq
jale jalə
jart kart
jmix jmıx
jmıh jmıx
jömək kömək
kabap kabab
kahi kahı
kamot kamod
kap kab
kaqız kağız
karip karib
kasat kasad
kasıp kasıb
katip katib
katot katod
kaxa kaha
kaxı kahı
kaşi kaşı
kebe kəbə
kec keç
kec kəc
kef kəf
kegl keql
keke kəkə
kel kəl
kele kələ
kem kəm
kend kənd
kere kərə
kert kərt
kes keş
kes kəs
kesb kəsb
kese kəsə
kesr kəsr
kete kətə
keçe keçə
keçit keçid
keşf kəşf
kilit kilid
kime kimə
kine kinə
kire kirə
kirəç kirəc
kis kiş
kise kisə
kisip kisib
kitap kitab
klup klub
kobut kobud
kobux kobuq
koc köç
kok kök
komot komod
komputer kompüter
kop köp
kot kod
koz köz
krap krab
kul kül
kum küm
kup kub
kup küp
kur kür
kus küs
kut küt
kuy küy
kuz küz
kuze kuzə
köbe köbə
köke kökə
köle kölə
küne künə
künç künc
küpe küpə
küre kürə
küçe küçə
kənt kənd
kəsp kəsb
kəç kəc
labüt labüd
lag lağ
lah lax
lale lalə
lalıx lalıq
lari ları
layix layiq
leb ləb
lec ləc
lek lək
leke ləkə
lel ləl
lele lələ
leli ləli
leme ləmə
lems ləms
leng ləng
lepe ləpə
les leş
let lət
leğv ləğv
life lifə
lig lığ
liga liqa
lire lirə
lirt lırt
liğ lığ
liğa lığa
logo loqo
lok lök
lort lord
los loş
lut lüt
lüle lülə
lüme lümə
lənk ləng
ləp ləb
ləqəp ləqəb
ləç ləc
mac maç
mafe mafə
mali malı
mane manə
marax maraq
marıx marıq
mas maş
matdırılma çatdırılma
mazax mazaq
mazi mazı
mede mədə
medh mədh
mehsul məhsul
mehv məhv
mehz məhz
meke məkə
mekr məkr
mele mələ
meli məli
melumat məlumat
meme məmə
men mən
mena məna
meni məni
merc mərc
merd mərd
merz mərz
mes məs
mest məst
met mət
metn mətn
mex meh
mexr mehr
meze məzə
meğz məğz
meşe meşə
mihi mixi
mix mıx
miz mız
mizi mızı
morg morq
morux moruq
morx morq
mot mod
muzt muzd
müəlim müəllim
mıh mıx
mırıx mırıq
mədx mədh
məhsül məhsul
mərt mərd
mərç mərc
məsulyyət məsuliyyət
məxv məhv
məxz məhz
məşg məşq
məşux məşuq
məşx məşq
nacax nacaq
nahax nahaq
naip naib
natix natiq
naçax naçaq
nağaza mağaza
nağt nağd
naşi naşı
nef nəf
nem nəm
ner nər
nes nəş
nesaj mesaj
neş nəş
nifax nifaq
nirx nırx
nirç nırç
nitg nitq
nitx nitq
nobil mobil
nov növ
nusiqi musiqi
nüdafiə müdafiə
nüştəri müştəri
nırh nırx
nəgl nəql
nəktəb məktəb
nərt nərd
nəsx nəsh
nəxr nəhr
nəxs nəhs
nəxv nəhv
oarol parol
ocag ocaq
ocax ocaq
oddax oddaq
ode ödə
odenis ödəniş
odlux odluq
ohlu oxlu
ohra oxra
ohu oxu
ohun oxun
ohut oxut
ohşa oxşa
olc ölç
olu ölü
onlux onluq
ooçt poçt
orag oraq
orax oraq
ore örə
ort ord
ort ört
oruç oruc
otag otaq
otax otaq
oul pul
oulsuz pulsuz
ovug ovuq
ovux ovuq
ovuç ovuc
oyag oyaq
oyax oyaq
oyu öyü
oyug oyuq
oyux oyuq
ozu özü
papax papaq
pazi pazı
pdəniş ödəniş
pec peç
per pər
pes pəs
pic piç
poh pox
prop prob
puc puç
put pud
qac qaç
qah qax
qaip qaib
qalh qalx
qapi qapı
qari qarı
qas qaş
qati qatı
qaşi qaşı
qem qəm
qet qət
qeydiyat qeydiyyat
qeyp qeyb
qeyt qeyd
qic qıc
qic qıç
qica qıca
qici qıcı
qif qıf
qig qığ
qiji qıjı
qil qıl
qin qın
qina qına
qir qır
qirp qırp
qirt qırt
qirx qırx
qis qıs
qis qış
qisa qısa
qit qıt
qiy qıy
qiz qız
qiç qıç
qiça qıça
qiğ qığ
qiş qış
qnvan ünvan
qoc qoç
qohu qoxu
qonx qonq
qorh qorx
qos qoş
qurt qurd
qus quş
quç quc
qütp qütb
qırh qırx
qəbül qəbul
qədt qədd
qənt qənd
qərp qərb
qərx qərq
qəsp qəsb
qəst qəsd
qəxr qəhr
razi razı
ref rəf
relefon telefon
rey rəy
reyt reyd
rinx rinq
romp romb
rub rüb
rux ruh
ruxi ruhi
rüp rüb
rəbp rəbb
rədt rədd
rəhlükəsizlik təhlükəsizlik
rəklif təklif
rənk rəng
rəxm rəhm
rəxn rəhn
sac saç
sad şad
sag sağ
sah şah
sal şal
sam şam
san şan
sanç sanc
sar şar
sari sarı
sax şax
saxə sahə
sec seç
sef səf
sef şef
seh sex
seh şeh
sek sək
sen sən
sen şən
sep səp
ser sər
ser şer
ser şər
serp serb
ses səs
sexr sehr
sey səy
sey şey
sheher şəhər
shem sxem
sie şiə
sig sığ
sil şil
sin sın
sin şin
sina sına
sinç sinc
sipa sıpa
siq şıq
sir şir
sira sıra
sirf sırf
siri sırı
sis şiş
sit şit
siv şiv
six sıx
siz sız
siğ sığ
slıcı alıcı
slış alış
smox smoq
soh sox
sok sök
somen domen
son sön
sor şor
soy söy
soz söz
sua şüa
suc suç
sud süd
sum şum
sup şup
sur sür
sur şur
sus süs
sux şux
suy şüy
suz süz
sxtarış axtarış
szərbaycan azərbaycan
sövlət dövlət
sövx sövq
sübx sübh
sülx sülh
süt süd
sıh sıx
sədt sədd
səhf səhv
sənət sənəd
səstək dəstək
sətx səth
səxv səhv
tag tağ
tah tax
taht taxt
tani tanı
tazi tazı
taç tac
teb təb
tehlukesiz təhlükəsiz
tek tək
telifon telefon
tem təm
ten tən
tep təp
ter tər
tesdiq təsdiq
tez təz
tibp tibb
tig tığ
tiha tixa
tink ting
tix tıx
tiğ tığ
toh tox
toha toxa
tohu toxu
tok tök
toxlama yoxlama
tug tuğ
tuk tük
tul tül
tun tün
tunç tunc
tus tuş
tvit tvid
tünt tünd
tıh tıx
tıha tıxa
təlh təlx
təşəkür təşəkkür
ufax ufaq
ulax ulaq
uni üni
unversitet universitet
urk ürk
ust üst
ustifadəçi istifadəçi
usu üşü
utu ütü
uyux uyuq
uzax uzaq
uzr üzr
uzv üzv
uçux uçuq
uşax uşaq
vag vağ
vaht vaxt
vakı bakı
vank bank
vaxə vahə
vağlama bağlama
ved vəd
vel vəl
ven vən
vep veb
ver vər
vez vəz
vəct vəcd
vət vəd
vəxy vəhy
vəzyət vəziyyət
xac xaç
xalx xalq
xalə halə
xami hami
xamı hamı
xaqq haqq
xas xaş
xava hava
xay hay
xayiş xahiş
xaça haça
xeca heca
xey hey
xeyf heyf
xez xəz
xeç heç
xidmet xidmət
xifz hifz
xil hil
xilt xılt
xim him
ximn himn
xin hin
xina xına
xir xır
xirs hirs
xis his
xis xış
xiss hiss
xiş xış
xol hol
xop hop
xos xoş
xuk huk
xulu hulu
xuri huri
xuş huş
xökm hökm
xör hör
xövl hövl
xünü hünü
xür hür
xürk hürk
xüsn hüsn
xüzn hüzn
xəb həb
xəbs həbs
xəcc həcc
xəcm həcm
xəcv həcv
xədd hədd
xədə hədə
xəkk həkk
xəll həll
xəlx xəlq
xələ hələ
xəm həm
xər hər
xərb hərb
xərf hərf
xərç xərc
xərə hərə
xəya həya
xəzm həzm
xəzz həzz
yabi yabı
yag yağ
yah yax
yaha yaxa
yahı yaxı
yamp yamb
yani yanı
yari yarı
yart yard
yas yaş
yaxi yaxı
yazi yazı
yaği yağı
yig yığ
yirt yırt
yix yıx
yiğ yığ
yog yoq
yoh yox
yon yön
yot yod
yuha yuxa
yuhu yuxu
yuk yük
yuz yüz
yıh yıx
zag zağ
zahi zahı
zari zarı
zaxı zahı
zer zər
zex zeh
zexn zehn
zey zəy
zidt zidd
zig zığ
zil zıl
zilx zılx
zinq zınq
ziri zırı
ziğ zığ
zog zoğ
zop zob
zot zod
zuy züy
zövx zövq
zövç zövc
zılh zılx
zınx zınq
zəbərlər xəbərlər
zənk zəng
zərp zərb
zərt zərd
zəxm zəhm
zəxr zəhr
çah çax
çali çalı
çarh çarx
çati çatı
çeh çex
çem çəm
çen çən
çep çəp
çirkət şirkət
çirp çırp
çix çıx
çiğ çığ
çoh çox
çohu çoxu
çuha çuxa
çıh çıx
çəbəkə şəbəkə
çəkil şəkil
çənk çəng
öde ödə
öre örə
öxdə öhdə
üfüx üfüq
üiymət qiymət
ümail email
ümit ümid
ündirim endirim
ünvam ünvan
üçoh üçox
ılaqə əlaqə
şahi şahı
şahə şaxə
şani şanı
şat şad
şaxı şahı
şen şən
şex şeh
şeyh şeyx
şhun şxun
şie şiə
şiq şıq
şiğa şığa
şiği şığı
ştap ştab
şuh şux
şövx şövq
şıg şıq
şıx şıq
şəhs şəxs
şərx şərh
şərx şərq
əcəp əcəb
ədip ədib
ədəp ədəb
ədət ədəd
əgd əqd
əhi əxi
əht əhd
əlaç əlac
əlbətdə əlbəttə
əmliyyat əməliyyat
əmut əmud
ənk əng
əqix əqiq
əqt əqd
ərəp ərəb
əsəp əsəb
əxd əhd
əxl əhl
əzap əzab
