# Words habitually confused for each other, one group per line.
# Croatian: ASCII-folded forms, the c/c and dz/d confusions,
# ije/je and ekavian slips, plus kbdcr keyboard-adjacency slips.
abiotićki abiotički
bedz bedž
beges begeš
bekes bekeš
bel bijel
berac berač
berać berač
berači beraći
beričetli berićetli
beričetni berićetni
beskićmen beskičmen
beskučni beskućni
beskučnik beskućnik
besolatno besplatno
bespkatno besplatno
besplarno besplatno
besplatbo besplatno
besplatni besplatno
besplstno besplatno
bespuče bespuće
bez bež
bezbošćev bezboščev
bezbraćni bezbračni
bezlićni bezlični
beznadje beznađe
bezoćni bezočni
bezoćniji bezočniji
bezvladje bezvlađe
bezvlašče bezvlašće
bezvućje bezvučje
bezvućni bezvučni
bećati bečati
bećiti bečiti
bećki bečki
bečar bećar
bečarac bećarac
bečarenje bećarenje
bečarina bećarina
bečariti bećariti
bečarstvo bećarstvo
bešćastan beščastan
bešćujni beščujni
beščašče beščašće
beščutni bešćutni
bežićni bežični
biblićar bibličar
bic bič
bice biće
bicic bičić
bicji bičji
bihački bihaćki
bijuči bijući
bilanćni bilančni
biljćica biljčica
bioetićki bioetički
bionićki bionički
biotićki biotički
birac birač
birać birač
bistroča bistroća
bivaćni bivačni
bivsi bivši
bić bič
bićevati bičevati
bićji bičji
biče biće
bičič bičić
bjase bjaše
bjelaćki bjelački
bjelićast bjeličast
bjeloča bjeloća
bjese bješe
bjesnoča bjesnoća
blagorodje blagorođe
blagoča blagoća
blazi blaži
blačen blaćen
blijedeči blijedeći
blijedjen blijeđen
blijedjenje blijeđenje
blizi bliži
bljedji bljeđi
bljedoča bljedoća
blješteči blješteći
blokič blokić
bobićast bobičast
boca boća
bocar boćar
bocat bočat
bocni bočni
bodez bodež
bogačenje bogaćenje
boksać boksač
bokćija bokčija
bolečiv bolećiv
bolnićar bolničar
bolnićki bolnički
bombončič bombončić
boreči boreći
boric borić
borilaćki borilački
borič borić
borsc boršč
boršć boršč
bosanćica bosančica
botanićar botaničar
botanićki botanički
bovac novac
bozji božji
bozur božur
boćat bočat
boćica bočica
boćina bočina
boćni bočni
boča boća
bočar boćar
bočati boćati
bošnjaćki bošnjački
božični božićni
božičnica božićnica
braca braća
branić branič
bratič bratić
bratućed bratučed
braćki brački
braćni bračni
brača braća
brcic brčić
brdjanin brđanin
brdjanka brđanka
brdjanski brđanski
bredi bređi
bredjati bređati
bredji bređi
brenćati brenčati
brezovaća brezovača
brećati brečati
breščič breščić
bridz bridž
brijać brijač
brijači brijaći
briješče briješće
brios brioš
brisać brisač
brisači brisaći
brišuči brišući
brkljaća brkljača
broc broć
brodič brodić
brojać brojač
brojćan brojčan
brojćanik brojčanik
bronćan brončan
bros broš
broč broć
bročika broćika
bruječi brujeći
brusać brusač
brusači brusaći
brzi brži
brzoteća brzoteča
brćina brčina
brćkati brčkati
brčič brčić
bsnka banka
bubnjič bubnjić
buc buć
bucje bučje
bucni bučni
buden buđen
budes budeš
budjen buđen
buduči budući
budučnost budućnost
buhac buhač
bukac bukač
busa buša
busac bušač
busan bušan
busel bušel
busen bušen
bućati bučati
bućenje bučenje
bućica bučica
bućiti bučiti
bućje bučje
bućni bučni
bućnica bučnica
bućniji bučniji
bwsplatno besplatno
caca ćaća
cad čađ
cada čađa
caj čaj
cak čak
caka čaka
cama čama
car čar
caric carić
cas čas
casa čaša
cast čast
cedo čedo
cega čega
cek ček
ceka čeka
cela ćela
celo čelo
cemo ćemo
cemu čemu
cep čep
ces ćeš
cest čest
ceta četa
cete ćete
cica ciča
cica čiča
cideo video
cihena cijena
cijeba cijena
cijed cijeđ
cijedj cijeđ
cijedjen cijeđen
cijens cijena
cijesti vijesti
ciji čiji
cijwna cijena
cik čik
cili čili
cim čim
cime čime
cin čin
cip čip
cips čips
cir čir
cist čist
clada vlada
clan član
cmar čmar
cora ćora
covjek čovjek
crci crći
crpes crpeš
crtac crtač
crtez crtež
crtic crtić
crvenosmedj crvenosmeđ
crvic crvić
cud ćud
cudo čudo
cujena cijena
cuk ćuk
cule ćule
culo čulo
cun čun
cunj čunj
cuti čuti
cvet cvijet
cvor čvor
dace đače
dades dadeš
dak đak
dasak dašak
dasce dašće
dasci dašći
dase daše
dasto dašto
davac davač
davez davež
davo đavo
daždjenje dažđenje
decko dečko
derac derač
dete dijete
devojka djevojka
dezava drzava
dežava država
dici dići
dicni dični
dijo dio
dimena domena
disni dišni
distava dostava
dizac dizač
djak đak
djakon đakon
djakonija đakonija
djakovati đakovati
djakovački đakovački
djavao đavao
djavlov đavlov
djavo đavo
djavolak đavolak
djavolast đavolast
djavolica đavolica
djavolija đavolija
djavolji đavolji
djavolov đavolov
djavolski đavolski
djavolčić đavolčić
djavolština đavolština
djače đače
djačić đačić
djaštvo đaštvo
djenovski đenovski
djerdan đerdan
djerdančić đerdančić
djikati đikati
djipati đipati
djipsati đipsati
djon đon
djubar đubar
doatava dostava
docek doček
doci doći
docim dočim
dodjavola dođavola
dogadjaj događaj
dogadjati događati
dogradjen dograđen
dohodjenje dohođenje
domeba domena
domens domena
domwna domena
don đon
donena domena
doradjen dorađen
doradjivati dorađivati
doradjivač dorađivač
dosadjivati dosađivati
dosadjujući dosađujući
dosli došli
dosrava dostava
dostaca dostava
dostavs dostava
dostsva dostava
dosudjen dosuđen
dosudjivati dosuđivati
dovidjenja doviđenja
dovodjen dovođen
drac drač
draca drača
draz draž
drazi draži
drmes drmeš
drsce dršće
drsci dršći
drscu dršću
drska drška
drtava drzava
drzac držač
drzaca drzava
drzak držak
drzavs drzava
drzsva drzava
držaca država
državs država
držsva država
ducan dućan
duhac duhač
dusa duša
dusak dušak
dusik dušik
dusni dušni
duz duž
duzd dužd
duzi duži
duzni dužni
dzabe džabe
dzem džem
dzep džep
dzez džez
dzin džin
dzip džip
dzudo džudo
dzul džul
eačun račun
eijeka rijeka
emaik email
emaul email
emsil email
enail email
etaza etaža
festa fešta
fetis fetiš
ficuk fićuk
finis finiš
flasa flaša
flazba glazba
fles fleš
gace gaće
garez garež
gasen gašen
gauco gaučo
gazen gažen
gda gđa
gdica gđica
gejsa gejša
gkazba glazba
gladu glađu
glatba glazba
glazbs glazba
glazva glazba
gled gleđ
glszba glazba
glusi gluši
golac golać
gonic gonič
gorci gorči
gosca gošća
gospoda gospođa
grada građa
grc grč
grcen grčen
grcki grčki
grgec grgeč
griza griža
grješka greška
grlic grlić
grmas grmaš
grmic grmić
gros groš
grvatska hrvatska
gudac gudač
gulas gulaš
gurac gurač
gusa guša
gusav gušav
gusce gušče
gusci gušći
gusen gušen
gutac gutač
guzva gužva
hadz hadž
harac harač
hase haše
hasis hašiš
haski haški
hevatska hrvatska
hice hiče
hlace hlače
hoce hoće
hoces hoćeš
hocu hoću
hodac hodač
hodah hođah
hodza hodža
homic homić
hrcak hrčak
hrcatska hrvatska
hrda hrđa
hrdav hrđav
hrust hrušt
hrvac hrvač
hrvarska hrvatska
hrvataka hrvatska
hrvatsja hrvatska
hrvatsks hrvatska
hrvstska hrvatska
htijeo htio
htjeo htio
hucni hučni
ica ića
iceg ičeg
icem ičem
ici ići
icim ičim
idah iđah
iduci idući
ifra igra
igea igra
igrac igrač
igrs igra
imidz imidž
inace inače
inc inč
incun inćun
inoca inoča
isao išao
isijek osijek
isla išla
isle išle
isli išli
islo išlo
ista išta
jaci jači
jartica kartica
jez jež
jlijent klijent
jontakt kontakt
jorisnik korisnik
jos još
jupac kupac
jupovina kupovina
kaetica kartica
kaic kaić
kais kaiš
karrica kartica
kartics kartica
kartixa kartica
kartuca kartica
kasa kaša
kauc kauč
kcer kćer
kci kći
kes keš
kic kič
kintakt kontakt
kirisnik korisnik
kisa kiša
kkijent klijent
klihent klijent
klijebt klijent
klijenr klijent
klijwnt klijent
klujent klijent
kobtakt kontakt
koca koća
koca koča
koeisnik korisnik
konrakt kontakt
kontajt kontakt
kontakr kontakt
kontskt kontakt
korianik korisnik
korisbik korisnik
korisnij korisnik
korisnuk korisnik
korusnik korisnik
kos koš
koza koža
kozinka lozinka
krec kreč
kriz križ
krs krš
ksrtica kartica
kuca kuća
kuoac kupac
kuoovina kupovina
kupax kupac
kupivina kupovina
kupocina kupovina
kupoviba kupovina
kupovins kupovina
kupovuna kupovina
kupsc kupac
kus kuš
kuča kuća
kučica kućica
kučni kućni
kzpac kupac
kzpovina kupovina
kčer kćer
kčerka kćerka
lada lađa
laz laž
leca leća
leci leći
leda leđa
lep lijep
lepo lijepo
les leš
linc linč
lizinka lozinka
loda lođa
los loš
lotinka lozinka
loza loža
lozibka lozinka
lozinja lozinka
lozinks lozinka
lozunka lozinka
luc luč
ludi luđi
mac mač
mace mače
maci maći
madarska mađarska
madžarska mađarska
mars marš
mec meč
meda međa
medju među
medu među
meeža mreža
mesec mjesec
mesto mjesto
mibitel mobitel
mis miš
mleko mlijeko
mobirel mobitel
mobitek mobitel
mobitwl mobitel
mobutel mobitel
moc moć
moci moći
moguč moguć
moguče moguće
morz morž
most mošt
movitel mobitel
moze može
moč moć
mrci mrči
mrežs mreža
mrwža mreža
mrzi mrži
muz muž
muza muža
naci naći
nadi nađi
nadji nađi
naeudžba narudžba
narudžbs narudžba
narudžva narudžba
narusžba narudžba
narzdžba narudžba
nas naš
naze naže
nece neće
necu neću
nedelja nedjelja
nesreča nesreća
nesumnjivo nesumljivo
nici nići
nisa niša
nivac novac
nizi niži
nobitel mobitel
noc noć
nocac novac
nocu noću
novax novac
novsc novac
noz nož
noč noć
noču noću
nreža mreža
nsrudžba narudžba
oaijek osijek
oaket paket
ocaj očaj
oce oče
ocev očev
oci oči
ocit očit
ocni očni
ocuh očuh
odes odeš
olaćanje plaćanje
olos ološ
omca omča
oodrška podrška
oomoć pomoć
oonuda ponuda
oopust popust
oorez porez
ooruka poruka
oosao posao
ooslužitelj poslužitelj
oosta posta
oošta pošta
opci opći
opče opće
opčenito općenito
orac orač
oretraga pretraga
orijava prijava
orovjera provjera
osihek osijek
osijej osijek
osijwk osijek
osit ošit
osujek osijek
ozet ožet
ozme ožme
ozmi ožmi
ozmu ožmu
pace pače
pajet paket
paker paket
pakwt paket
pasa paša
paz paž
pec peć
peca peča
peci peći
peetraga pretraga
peijava prijava
peovjera provjera
pice piće
pidrška podrška
pimoć pomoć
pinuda ponuda
pipust popust
pirez porez
piruka poruka
pisao posao
pislužitelj poslužitelj
pista posta
pišta pošta
pkaćanje plaćanje
pkola škola
plac plač
plaćabje plaćanje
plaćanhe plaćanje
plaćanjw plaćanje
plaćsnje plaćanje
plača plaća
plačanje plaćanje
plis pliš
plsćanje plaćanje
poaao posao
poalužitelj poslužitelj
poata posta
pobuda ponuda
poci poći
podeška podrška
podji pođi
podrpka podrška
podršja podrška
podršks podrška
poeez porez
poeuka poruka
pogrješka pogreška
pomić pomoć
pomoč pomoć
ponoć pomoć
ponuds ponuda
ponusa ponuda
ponzda ponuda
pooust popust
popta pošta
popuat popust
popusr popust
popzst popust
poret porez
poruja poruka
poruks poruka
porwz porez
porzka poruka
posai posao
poskužitelj poslužitelj
poslužirelj poslužitelj
poslužitekj poslužitelj
poslužitelh poslužitelj
poslužitwlj poslužitelj
poslužutelj poslužitelj
poslzžitelj poslužitelj
posra posta
posrška podrška
posso posao
posts posta
pošra pošta
pošts pošta
prc prč
predjeg predjela
prerraga pretraga
preteaga pretraga
pretrafa pretraga
pretrags pretraga
pretrsga pretraga
prihava prijava
prijaca prijava
prijavs prijava
prijsva prijava
privjera provjera
procjera provjera
provhera provjera
provjeea provjera
provjers provjera
provjwra provjera
prujava prijava
prwtraga pretraga
psic psić
psket paket
ptic ptić
puc puč
puci pući
punc punč
puz puž
ralun račun
ranc ranč
raz raž
raza raža
razumjeo razumio
račub račun
račzn račun
rda rđa
rdav rđav
reci reći
reka rijeka
relefon telefon
res reš
reso rešo
rid riđ
ridi riđi
riheka rijeka
rijeja rijeka
rijeks rijeka
rijwka rijeka
riza riža
rodendan rođendan
rodjendan rođendan
rrgovina trgovina
rsčun račun
rujeka rijeka
ruz ruž
ruza ruža
rvac rvač
rvrtka tvrtka
sace saće
sah šah
saht šaht
saka šaka
sal šal
sala šala
sank šank
sapa šapa
sara šara
sarm šarm
sas šaš
satl šatl
sav šav
scir šćir
sdresa adresa
sef šef
sega šega
seh šeh
seik šeik
sema šema
seri šeri
sest šest
seva ševa
siba šiba
sica sića
sici sići
sifurnost sigurnost
siguenost sigurnost
sigurbost sigurnost
sigurnist sigurnost
sigurnoat sigurnost
sigurnosr sigurnost
sigzrnost sigurnost
siit šiit
sija šija
silo šilo
silt šilt
sina šina
siri širi
siti šiti
size siže
skaf škaf
skec skeč
skika slika
skrt škrt
slag šlag
sled sleđ
slep šlep
slic šlic
slija slika
sliks slika
sluka slika
smec smeč
smed smeđ
smrk šmrk
smud smuđ
sneg snijeg
sok šok
solit split
somena domena
sor šor
sostava dostava
spad špad
span špan
spek špek
spil špil
spkit split
splir split
splut split
sreča sreća
srečan sretan
srečna sretna
srečno sretno
srranica stranica
srz srž
srzava drzava
sržava država
sta šta
stab štab
stap štap
staz staž
steanica stranica
stih štih
stit štit
sto što
stof štof
stok štok
stos štos
strabica stranica
stranics stranica
stranixa stranica
stranuca stranica
strjelica strelica
strk štrk
strsnica stranica
stur štur
sude suđe
suft šuft
suga šuga
sugurnost sigurnost
sulj šulj
sum šum
suma šuma
sumljiv sumnjiv
sumljivi sumnjivi
sumljivo sumnjivo
sumljivost sumnjivost
sund šund
supa šupa
susa suša
susa šuša
susi suši
sut šut
svet svijet
taci taći
tagreb zagreb
takoder također
takodjer također
tast tašt
taštita zaštita
tcrtka tvrtka
tdravlje zdravlje
teci teći
tegovina trgovina
tekefon telefon
teledon telefon
telefin telefon
telefob telefon
telo tijelo
telwfon telefon
teza teža
tezi teži
tisi tiši
tisuča tisuća
tkac tkač
trac trač
trfovina trgovina
trgivina trgovina
trgocina trgovina
trgoviba trgovina
trgovins trgovina
trgovuna trgovina
tuca tuča
tuci tući
tud tuđ
tus tuš
tvetka tvrtka
tvrrka tvrtka
tvrtja tvrtka
tvrtks tvrtka
twlefon telefon
ucas učas
ucen učen
uci ući
ugra igra
unca unča
uopče uopće
usce ušće
uska uška
usni ušni
usur ušur
uvek uvijek
uzar užar
uzas užas
uze uže
uzen užen
uzi uži
vanka banka
vas vaš
vec već
vece veče
veci veći
vera vjera
ves veš
vesplatno besplatno
veza veža
več već
videi video
vidijeo vidio
vidjeo vidio
vidwo video
vihesti vijesti
vijeati vijesti
vijesri vijesti
vijestu vijesti
vijwsti vijesti
viseo video
visi viši
vkada vlada
vlads vlada
vlasa vlada
vlsda vlada
voce voće
voda vođa
vozd vožd
vrac vrač
vračanje vraćanje
vrc vrč
vrci vrći
vredi vrijedi
vreme vrijeme
vris vriš
vrjedan vrijedan
vrsa vrša
vruc vruć
vrze vrže
vuca vuča
vuci vući
vudeo video
vujesti vijesti
wmail email
xijena cijena
zaba žaba
zaci zaći
zad žad
zafreb zagreb
zageeb zagreb
zagrev zagreb
zagrwb zagreb
zal žal
zalo žalo
zanr žanr
zao žao
zaptita zaštita
zar žar
zara žara
zašrita zaštita
zaštira zaštita
zaštits zaštita
zaštuta zaštita
zbir žbir
zbun žbun
zdeavlje zdravlje
zdraclje zdravlje
zdravkje zdravlje
zdravlhe zdravlje
zdravljw zdravlje
zdrsvlje zdravlje
zece zeče
zeci žeći
zed žeđ
zeda žeđa
zega žega
zela žela
zele žele
zena žena
zeo žeo
zeti žeti
zeze žeže
zica žica
zice žiće
zidu ziđu
zig žig
zila žila
zir žir
ziri žiri
ziro žiro
zito žito
ziv živ
ziva živa
ziza žiža
zrec žrec
zsgreb zagreb
zsravlje zdravlje
zsštita zaštita
zuc žuč
zuci žući
zuk žuk
zulj žulj
zuna žuna
zupa župa
zur žur
zut žut
ćudoredje ćudoređe
čadj čađ
čadja čađa
čadjav čađav
čadjavac čađavac
čadjavica čađavica
čadjaviji čađaviji
čadjaviti čađaviti
čadjenje čađenje
čadjiti čađiti
četovodja četovođa
čovek čovjek
čudjenje čuđenje
šjola škola
škila škola
škoka škola
škols škola
željeo želio
